Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
graphics,graphic,,,"I am a freelance <span class=""AS"">graphic</span> artist.","but t looks like the newer macbooks have gotten its current line of <span class=""AS"">graphics</span> cards in order this time around.","Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 <span class=""AS"">graphics</span> chipset.","I bought it to my son who uses it for <span class=""AS"">graphic</span> design.","I need <span class=""AS"">graphic</span> power to run my Adobe Creative apps efficiently.","I love to write and play with <span class=""AS"">graphics</span> and html programming and my new Toshiba works great on both!","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB <span class=""AS"">graphic</span> card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.","It is easy to use, fast and has great <span class=""AS"">graphics</span> for the money.","The ATI <span class=""AS"">graphics</span> card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","The switchable <span class=""AS"">graphic</span> card is pretty sweet when you want gaming on the laptop.","Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new <span class=""AS"">graphics</span> chip?","Just keep in mind the <span class=""AS"">graphics</span> is not dedicated so loading the movie almost took a minute, but it ran fairly smooth for a non-dedicated graphics card.","The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a <span class=""AS"">graphic</span> artist run poorly.","Bigger HD, better <span class=""AS"">graphics</span> card, and a bid HD.","The <span class=""AS"">graphics</span> on this computer are also stellar - very clear and vivid.","It's <span class=""AS"">graphics</span> aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.","The screen <span class=""AS"">graphics</span> and clarity, and sharpness are great.","And the fact that Apple is driving the 13"" RMBP with the Intel4000 <span class=""AS"">graphic</span> chip seems underpowered (to me.","As a <span class=""AS"">graphic</span> arts a retired instructor I still love to play with the graphic with photos and clip art .....","I do find that my MacBook has a lot more bells and whistles than a normal PC especially if you enjoy technology, downloading pictures and <span class=""AS"">graphic</span> design."
piece,,,,"I love this <span class=""AS"">piece</span> of equipment, It will be hard to go back to other type of laptop after using a MacBook Pro.","Oh, it is such a great <span class=""AS"">piece</span> of equipment.","I have three words: <span class=""AS"">Piece</span> of Junk!","I found that a tiny plastic <span class=""AS"">piece</span> inside had broken (manuf issue).","The investment of a new MacBook Pro came at a price, but totally worth it for a good <span class=""AS"">piece</span> of mind.","Congratulations Asus for creating one big <span class=""AS"">piece</span> of dump which is my laptop.","She said Wal Mart rants and raves abouy carring Dell because it's a big name but they are a <span class=""AS"">piece</span> of garbage.","Worth the investment and truly a fine <span class=""AS"">piece</span> of equipment.","I've haven't had any major problems with the laptop except that the plastic <span class=""AS"">piece</span> that covers the usb port wires have all come off."
others,other,,,"I love this piece of equipment, It will be hard to go back to <span class=""AS"">other</span> type of laptop after using a MacBook Pro.","While I mostly use it for email, internet and gaming, I'm confident all <span class=""AS"">other</span> applications live up to the high standard I've come to appreciate from Mac laptops.","I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the <span class=""AS"">other</span> stuff get a laptop.","The only thing that can be updated is the video, <span class=""AS"">other</span> than that you're all set.","It out performs any <span class=""AS"">other</span> laptop on the market today.","This isn't a big deal, I haven't noticed the issue with DVDs or <span class=""AS"">other</span> media, only through USB output.","My only <span class=""AS"">other</span> complaint is that it gets really hot.","As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with <span class=""AS"">other</span> same model netbooks and discussed it with her colleague (I could see them).","I own <span class=""AS"">other</span> Macs but always find myself navigation to the MacBook Pro to get my work done.","It is a much more streamlined system for adding programs, using the internet, and doing <span class=""AS"">other</span> things everyone does on a computer.","It's fast, quiet, incredibly small and affordable compared to <span class=""AS"">other</span> Mac models.","They transfer you around to <span class=""AS"">other</span> people who do not understand what you are saying","The only thing I miss are the ""Home/End"" type keys and <span class=""AS"">other</span> things that I grew accustomed to after so long.","I dual boot with Linux and that <span class=""AS"">other</span> security-prone OS and it performs flawlessly.","The keyboard is slick and quiet and not bulky like some <span class=""AS"">other</span> laptops I have had in the past.","It is a REAL touchpad, not the toy I saw in <span class=""AS"">other</span> brands.","Easy to start up and does not overheat as much as <span class=""AS"">other</span> laptops.","Seems a much more economical way to get into Apple than their <span class=""AS"">other</span> computers.","The Nortons virus scan is only for a very short time unlike <span class=""AS"">others</span> that usually are good for a year.","The built in camera is very useful when chatting with <span class=""AS"">other</span> techs in remote buildings on our campus."
way,,,,"Okay, let's just start out by saying I am in no <span class=""AS"">way</span> a computer techy.","Do you think it's fun to take public transport all the <span class=""AS"">way</span> to the service center and get a non-satisfactory solution?","There's literally no <span class=""AS"">way</span> to make it sing with Vista.","The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 <span class=""AS"">way</span> done.","After <span class=""AS"">way</span> too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","the mouse is <span class=""AS"">way</span> way way to sensitve.","the laptop was really good and it goes really fast just the <span class=""AS"">way</span> i thought it would of run.","I have used different laptops in the past and I have to rate this one <span class=""AS"">way</span> above the rest.","Seems a much more economical <span class=""AS"">way</span> to get into Apple than their other computers.","Either <span class=""AS"">way</span> I'm furious.","It is loaded with programs that is of no good for the average user, that makes it run <span class=""AS"">way</span> to slow.","But with A <span class=""AS"">WAY</span> Bigger Screen, and IS able to connect to an HDMI.","I love the <span class=""AS"">way</span> the entire suite of software works together.","but I'm finding my <span class=""AS"">way</span> around.","I respond that I do not have the old computer and this <span class=""AS"">way</span> I would lose the data on my hard drive.","I don't use my laptop in a <span class=""AS"">way</span> though that needs a long battery life","I have had two Toshiba satellite computers and while they are okay, they are in no <span class=""AS"">way</span> comparable to the Mac.","In the <span class=""AS"">way</span> of operating a mouse in small area.","In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the <span class=""AS"">way</span> of the display.","i think that anyone looking for a good durrable laptop then this is the <span class=""AS"">way</span> to go."
nothing,,,,"The reaction of Toshiba is there is <span class=""AS"">nothing</span> you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.","The speed difference is next to <span class=""AS"">NOTHING</span> for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.","I have <span class=""AS"">nothing</span> to regret from this new product.","Well i got this computer from Best Buy and I have had <span class=""AS"">nothing</span> but problems","The salesman talked us into this computer away from another we were looking at and we have had <span class=""AS"">nothing</span> but problems with software problems and just not happy with it.","It was still working, but there was <span class=""AS"">nothing</span> on the screen.","The apple macbook pro <span class=""AS"">nothing</span> to say butprofessionally great and outstanding.","Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do <span class=""AS"">nothing</span> about it.","Even though I could have gotten a pc twice the speed for the same price I still think there's <span class=""AS"">nothing</span> like a Mac.","As far as user type - I dabble in everything from games (WoW) to Photoshop, but <span class=""AS"">nothing</span> professionally.","The new Macbook Pro 15 inch i7 is <span class=""AS"">nothing</span> short of amazing.","they improved <span class=""AS"">nothing</span> else such as Resolution, appearance, cooling system, graphics card, etc.","they have done absolutely <span class=""AS"">nothing</span> to fix the computer problem.","I let my friend borrow it, and she knows <span class=""AS"">nothing</span> about computers, and she used it with ease.","There is <span class=""AS"">nothing</span> better.","Ever since I bought this laptop, so far I've experience <span class=""AS"">nothing</span> but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.","The Genius at the Apple store advised me that there was <span class=""AS"">nothing</span> about my use of the computer that caused this failure.","I have had <span class=""AS"">nothing</span> but problems since the day I took it out of the box!","It has been <span class=""AS"">nothing</span> but trouble from the time we bought it."
toshiba,,,,"The reaction of <span class=""AS"">Toshiba</span> is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.","I called <span class=""AS"">Toshiba</span> where I gave them the serial number and they informed me that they were having issues with the mother boards.","Purchased a <span class=""AS"">Toshiba</span> Lap top it worked good until just after the warrenty went out.","I have had at least eight <span class=""AS"">Toshiba</span> laptops, and they have been outstanding, including this one.","I love to write and play with graphics and html programming and my new <span class=""AS"">Toshiba</span> works great on both!","The <span class=""AS"">Toshiba</span> Net book operates very well.","NOW AM VERY APREHENSIVE ABOUT <span class=""AS"">TOSHIBA</span> LAPTOPS.","Now the machine won't connect and <span class=""AS"">Toshiba</span> says that they did replace the connection card in May but they only warranty the repair for 30 days","I did a lot of research and ended up thinking this <span class=""AS"">Toshiba</span> was the best one for me.","So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name <span class=""AS"">TOSHIBA</span> on it...","I investigated netbooks and saw the <span class=""AS"">Toshiba</span> NB305-N410BL.","As I soon discovered, though, there is a reason for which similarly-configured Sony and <span class=""AS"">Toshiba</span> machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","I just hope the reputation that <span class=""AS"">Toshiba</span> has is true and I won't have to worry about a crash.","When it come time for warranty service to <span class=""AS"">Toshiba</span> you don't matter.","As an owner of a <span class=""AS"">Toshiba</span> Satalite laptop computer things you should know before you buy.","I have had two <span class=""AS"">Toshiba</span> satellite computers and while they are okay, they are in no way comparable to the Mac.","Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a <span class=""AS"">Toshiba</span> R700 that seems even nicer","I purchased this netbook after my original <span class=""AS"">Toshiba</span> laptop crashed right after the warranty expired.","I sent it back to <span class=""AS"">Toshiba</span> twice they covered it under the  warranty.","I was so excited to receive the <span class=""AS"">Toshiba</span> L455 as a gift/bonus for some work I had done for a friend of mine!"
mouse,,,,"the <span class=""AS"">mouse</span> buttons are hard to push.","it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right <span class=""AS"">mouse</span> click menu.","The only thing I would change about it is the <span class=""AS"">mouse</span> keys.","the <span class=""AS"">mouse</span> on the pad, the left button always sticks.","the <span class=""AS"">mouse</span> is way way way to sensitve.","I've owned this labtop for less then two months, already the <span class=""AS"">mouse</span> button has broke.","This <span class=""AS"">mouse</span> is terrific.","The <span class=""AS"">mouse</span> is a little bit different than what you're used to though-","the <span class=""AS"">mouse</span> jumps around all the time and it clicks stuff","However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy <span class=""AS"">mouse</span> pad.","Needs Power and <span class=""AS"">Mouse</span> Cable to Plug in back instead of side,","In the way of operating a <span class=""AS"">mouse</span> in small area.","On my PowerBook G4 I would never use the trackpad I would use an external <span class=""AS"">mouse</span> because I didn't like the trackpad.","Another thing is that after only a month the left <span class=""AS"">mouse</span> key broke and it costed $175 to send it in to fix it.","I had to buy a wireless <span class=""AS"">mouse</span> to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.","I wish the volume could be louder and the <span class=""AS"">mouse</span> didnt break after only a month.","we were like we will just by a portable <span class=""AS"">mouse</span> which would be way cheaper","the <span class=""AS"">mouse</span> pad and buttons are the worst i've ever seen.","Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the <span class=""AS"">mouse</span> pad and where the heals of my hands sit, and the screen has a terrible glare.","The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a <span class=""AS"">mouse</span> with it."
apple,,,,"Our <span class=""AS"">Apple</span> 13.3 MacBook","I am paying <span class=""AS"">apple</span> to kill my self and my wallet.","I had to call <span class=""AS"">Apple</span> 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.","That was my first <span class=""AS"">Apple</span> product and since then I have been incredibly happy with every product of theirs I have bought.","The difference is it's a whole lot of fun using the laptop now, still learning the <span class=""AS"">Apple</span> navigation, but is fun and comes with a lot of cool apps.","After years of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the <span class=""AS"">Apple</span> route.","This is especially disheartening when <span class=""AS"">Apple</span> prides itself as the choice of creative professionals.","This is my 3rd <span class=""AS"">Apple</span> Laptop and first MacBook Pro.","Besides, the <span class=""AS"">apple</span> stocks have been falling due to lack of sales.","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless <span class=""AS"">Apple</span> Keyboard and Mouse, all put together in neat and nice package.","I've owned every ""Pro"" model <span class=""AS"">Apple</span> laptop for the last 8 years, this is BY FAR the WORST one I've ever had.","Sadly <span class=""AS"">Apple</span> has discontinued this MacBook, I think it was never super popular since it fell somewhere in between the cheapest white model and the smaller Pros.","I visited the <span class=""AS"">Apple</span> Store and was impressed with the 17-inch MacBook Pro.","fast, great screen, beautiful apps for a laptop;priced at 1100 on the <span class=""AS"">apple</span> website;amazon had it for 1098+ tax","The Dell Inspiron is fast and has a number pad on the keyboard, which I miss on my <span class=""AS"">Apple</span> laptops.","Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer - I am not an <span class=""AS"">Apple</span> fanboy.","Seems a much more economical way to get into <span class=""AS"">Apple</span> than their other computers.","Ive owned <span class=""AS"">Apple</span> computers and laptops for as long as i could remember.","My wife recently purchased an <span class=""AS"">Apple</span> MacBook Pro and our granddaughter fell in love with it and asked for one for her birthday.","I've had to call <span class=""AS"">Apple</span> support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me."
part,,,,"Pro Notebook Computer (Z0J80001) Notebook and has become such an integral <span class=""AS"">part</span> of completing our daily needs and social networking.","To list a few: They tend to get hot enough to cause 3rd degree burns, as well as ignite any flamable material if near the <span class=""AS"">part</span> that happens to heat up.","I think <span class=""AS"">part</span> of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).","Breaking within 1 year of purchase and speaking to 4+ people to report the damaged <span class=""AS"">part</span> will be returned late!","The only bad <span class=""AS"">part</span> is the size/weight.","They sent me a replacement <span class=""AS"">part</span> and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.","But no one could tell me when my <span class=""AS"">part</span> would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!","The nicest  <span class=""AS"">part</span> is the low heat output and ultra quiet operation.","The most amazing <span class=""AS"">part</span> to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.","I got the first ""Blue screen of death"" in the early <span class=""AS"">part</span> of July.","The love <span class=""AS"">part</span> of my relationship with this laptop doesn't take very long."
mac,,,,"This <span class=""AS"">Mac</span> Mini makes the Macbook Pro seem slow.","The <span class=""AS"">Mac</span> Mini is probably the simplest example of compact computing out there.","While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from <span class=""AS"">Mac</span> laptops.","Buying a <span class=""AS"">Mac</span> Mini would allow me to make the transition.","I bought this <span class=""AS"">Mac</span> in order to replace my old Dell laptop.","Customization on <span class=""AS"">mac</span> is impossible.","I would say that 85% of the design industry is <span class=""AS"">Mac</span> for good reason.","The <span class=""AS"">Mac</span> Book Pro performs flawlessly.","It's great to have a solid <span class=""AS"">Mac</span> in the living room.","everything about a <span class=""AS"">mac</span> is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.","I then upgraded to <span class=""AS"">Mac</span> OS X 10.8 ""Mountain Lion"".","Moving from a PC to <span class=""AS"">Mac</span> has never been easier, and I'm glad that I did it.","I had never owned a <span class=""AS"">Mac</span> before;","I thought the white <span class=""AS"">Mac</span> computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.","With a <span class=""AS"">MAC</span> computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.","Luckily, for all of us contemplating the decision, the <span class=""AS"">Mac</span> Mini is priced just right.","It's fast, quiet, incredibly small and affordable compared to other <span class=""AS"">Mac</span> models.","The <span class=""AS"">Mac</span> mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc","I have had a <span class=""AS"">Mac</span> for 6 years and won't go back to PC.","Yet my <span class=""AS"">mac</span> continues to function properly."
everything,,,,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get <span class=""AS"">everything</span> done.","It pretty much does <span class=""AS"">everything</span> we could ever need, and looks great to boot.","We figure that after <span class=""AS"">everything</span> HIS pc actually ended up costing $350 more than my original Mac.","It is <span class=""AS"">everything</span> I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","I hate the display screen and I have done <span class=""AS"">everything</span> I could do the change it.","I wiped nearly <span class=""AS"">everything</span> off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.","I love <span class=""AS"">everything</span> about it.","Most <span class=""AS"">everything</span> is fine with this machine: speed, capacity, build.","I reinstalled windows through the recovery discs and <span class=""AS"">everything</span> seemed good again.","It has <span class=""AS"">everything</span> I would need for a home computer.","Right out of the box, this little netbook did <span class=""AS"">everything</span> I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).","This laptop does <span class=""AS"">everything</span> I need it to very well.","It did <span class=""AS"">everything</span> we expected!","I do <span class=""AS"">everything</span> on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.","Does <span class=""AS"">everything</span> I need it to, has a wonderful battery life and I couldn't be happier.","I can do <span class=""AS"">everything</span> I could before, only faster and more efficiently.","It allows me to do <span class=""AS"">everything</span> I need from a computer and more.","It is very fast and has <span class=""AS"">everything</span> that I need except for a word program.","Every driver on the drivers/applications DVD is <span class=""AS"">everything</span> you will need for a reload.","Super light, super sexy and <span class=""AS"">everything</span> just works."
computing,,,,"The Mac Mini is probably the simplest example of compact <span class=""AS"">computing</span> out there.","I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for <span class=""AS"">computing</span> room.","It's a great prodcut to handle basic <span class=""AS"">computing</span> needs.","Good for every day <span class=""AS"">computing</span> and web browsing.",", it's very lightweight, and the response for the <span class=""AS"">computing</span> she's doing (Internet focused activity: mail, research, etc.) is excellent;"
memory,,,,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of <span class=""AS"">memory</span> to spice it all up a bit more.","The <span class=""AS"">memory</span> was gone and it was not able to be used.","They should have included more <span class=""AS"">memory</span> on their computers if they knew Vista would run slowly.","Buy the separate RAM <span class=""AS"">memory</span> and you will have a rocket!","It has just enough RAM to run smoothly and enough <span class=""AS"">memory</span> to satisfy my needs.","It could be a perfect laptop if it would have faster system <span class=""AS"">memory</span> and its radeon 5850 would have DDR5 instead of DDR3.","Have had many higher priced computers crash and burn long before ever got to use all that great <span class=""AS"">memory</span> and speed, etc.","I paid for extra <span class=""AS"">memory</span> and the 17-inch screen, as well as the top of the line DVD and CD burners.","The difference is the Toshiba had a lot more <span class=""AS"">memory</span> and hard drive space.","I work in film editing and post production, so I need a laptop that not only has power, but <span class=""AS"">memory</span> and speed as well.","it has 3 usb ports, 1 sd <span class=""AS"">memory</span> card reader and an sd memory car expansion."
money,,,,"Summary: Spend your <span class=""AS"">money</span> elsewhere","The computer is so slow, even after paying staples the extra <span class=""AS"">money</span> to speed it up.","Overall though, for the <span class=""AS"">money</span> spent it's a great deal.","If you have the <span class=""AS"">money</span> I suggest going for the i7.","With no problems,  I'm happy with this purchase because I saved <span class=""AS"">money</span> compared to buying it anywhere else.","Also, one of the users mentioned how the edges on the macbook is sharp, if you have <span class=""AS"">money</span> to spend on one of the incase shells, it doesn't seem to be a problem.","We'll save our <span class=""AS"">money</span> to replace it with a Mac again!","In all honesty, if someone is looking for a quality laptop and willing to pay a little more <span class=""AS"">money</span> for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.","Best <span class=""AS"">money</span> I ever spent.","This system is not worth the <span class=""AS"">money</span> or trouble trying to get it fix.","I don't have that additional <span class=""AS"">money</span> right now, and therefore wouldn't have purchased it at this time.","It was an all around waste of <span class=""AS"">money</span> for me.","I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more <span class=""AS"">money</span> to get great quality!","Save your <span class=""AS"">money</span> and go for a better device.","Yes, a Mac is much more <span class=""AS"">money</span> than the average laptop out there, but there is no comparison in style, speed and just cool factor.","I'm so disgusted that I wasted my <span class=""AS"">money</span> on this product.","I'll rather be out of date then spend more <span class=""AS"">money</span> on toshiba.","IT save up a bit more <span class=""AS"">money</span> and buy a computer that will last.","It is well worth the <span class=""AS"">money</span> it cost, Very good investment.","Overall for the <span class=""AS"">money</span> this is a good deal."
service,,,,"So, I paid a visit to LG notebook <span class=""AS"">service</span> center at Alexandra Road, hoping they can make the hinge tighter.","The <span class=""AS"">service</span> tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","Do you think it's fun to take public transport all the way to the <span class=""AS"">service</span> center and get a non-satisfactory solution?","As usual at customer <span class=""AS"">service</span> center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","Its ease of use and the top <span class=""AS"">service</span> from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","They need to stop outsoucing and send some complaint calls to US based customer <span class=""AS"">service</span> agents for those who live in the United states.","After way too many times sending the thing in for repairs (delivery <span class=""AS"">service</span> was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","COMPUTER HAS BEEN AT <span class=""AS"">SERVICE</span> FACILITY","I heard their customer <span class=""AS"">service</span> was lacking and that they were working on improving it!","it definitely beats my old mac and the <span class=""AS"">service</span> was great.","When it come time for warranty <span class=""AS"">service</span> to Toshiba you don't matter.","The tech guy then said the <span class=""AS"">service</span> center does not do 1-to-1 exchange","In desparation, I called their Customer <span class=""AS"">Service</span> number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","The shop will definitely push the problem to the <span class=""AS"">service</span> center.","It arrived so fast and customer <span class=""AS"">service</span> was great.","If this is an improvement in Customer <span class=""AS"">Service</span> then I would hate too see what it was before!","The technical <span class=""AS"">service</span> for dell is so 3rd world it might as well not even bother.","thanks for great <span class=""AS"">service</span> and shipping!","They also have a longer <span class=""AS"">service</span> life than other computers (I have several friends who still use the older Apple PowerBooks).","then on top of it all their cusromer <span class=""AS"">service</span> center is in the middle east."
something,,,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's <span class=""AS"">something</span> to be said about the simplicity of Macs.","But then, <span class=""AS"">something</span> goes wrong.","so if your planning to listen to music I suggest you get <span class=""AS"">something</span> better.","Every day I had this computer, <span class=""AS"">something</span> failed on it.","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting <span class=""AS"">something</span> smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.","I think I might rather suffer for <span class=""AS"">something</span> that is simple to fix in my opinion.","My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need <span class=""AS"">something</span> to help him in school.","Apparently there is a manufacturing defect, <span class=""AS"">something</span> with the amount of thermal paste.","Those moments in thime where you want to throw <span class=""AS"">something</span> against the wall?","But Sony said we could send it back and be charged for adding the bluetooth an additional seventy <span class=""AS"">something</span> dollars.","If you are a person like me, more on the creative side, the mac has <span class=""AS"">something</span> for you too.","I needed <span class=""AS"">something</span> affordable from Apple and was tired of dealing with PC laptop after PC laptop.","Clearly, there is <span class=""AS"">something</span> wrong with the product and LG didn't take up the responsibility.","Unless you don't care how long it takes to get going, find <span class=""AS"">something</span> else.","I switched to this because I wanted <span class=""AS"">something</span> different, even though I miss windows.","I have a business website and every time I have to change <span class=""AS"">something</span> I have to go to the public library to use a PC.","Theres always <span class=""AS"">something</span> wrong with it, wether it be some virus","10 hours of battery life is really <span class=""AS"">something</span> else....","If you are looking for <span class=""AS"">something</span> reliable, this is the laptop for you.","it might be <span class=""AS"">something</span> deep within Windows, for I was unable to create a disk image on my hard drive."
people,,,,"While most <span class=""AS"">people</span> say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Looking online, many <span class=""AS"">people</span> are having the same problem.","They transfer you around to other <span class=""AS"">people</span> who do not understand what you are saying","Breaking within 1 year of purchase and speaking to 4+ <span class=""AS"">people</span> to report the damaged part will be returned late!","Before I begin, I will say that I am not like a good percentage of the <span class=""AS"">people</span> that will end up writing a review on this computer - I am not an Apple fanboy.","Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most <span class=""AS"">people</span> would have went with XP if they could.","While many <span class=""AS"">people</span> brag about Mac being ""intuitive"", it does take a little time to adjust to coming from a PC, but once I got the hang of it, I don't want to go back.","The <span class=""AS"">people</span> there just changed for me on the spot","Macs are designed for the ""frontal lobe challenged"" <span class=""AS"">people</span> out there.","I spoke to 4 different <span class=""AS"">people</span> and was told they needed to transfer me to a 5th person!","A tip for <span class=""AS"">people</span> looking into this computer:","In addition, there is photo detection software that will allow you to group all the photos together based upon the <span class=""AS"">people</span> in the picture.","Screen - although some <span class=""AS"">people</span> might complain about low res which I think is ridiculous.","Its seen in movies, sitcoms, prominent important <span class=""AS"">people</span> carry and use them and they are GREAT!","So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of <span class=""AS"">people</span> you cant understand.","only one way this computer might become the best is that it needs to upgreade patches  to make less easier for <span class=""AS"">people</span> to hack into","I know some <span class=""AS"">people</span> complained about HDMI issues but they released a firmware patch to address that issue.","He said quite a number of <span class=""AS"">people</span> had encountered this problem and said it is a common issue.","I feel that enough <span class=""AS"">people</span> have Macs these days and that companies need to start making things more compatable than they used to be.","Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for <span class=""AS"">people</span> that truly are trying to support his baby."
value,,,,"While most people say that PCs hold functionality and <span class=""AS"">value</span> and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Waiting for the i7 was well worth it, great <span class=""AS"">value</span> for the price.","The ATI graphics card is a huge plus, definitely a good <span class=""AS"">value</span> if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","It's because when you buy it, you know first thing that you will not lose any <span class=""AS"">value</span> for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","I claim that this has no <span class=""AS"">value</span> to me, the laptop was new anyway.","It's super fast and a great <span class=""AS"">value</span> for the price!"
