Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
money,,,,"Summary: Spend your <span class=""AS"">money</span> elsewhere","The computer is so slow, even after paying staples the extra <span class=""AS"">money</span> to speed it up.","Overall though, for the <span class=""AS"">money</span> spent it's a great deal.","If you have the <span class=""AS"">money</span> I suggest going for the i7.","With no problems,  I'm happy with this purchase because I saved <span class=""AS"">money</span> compared to buying it anywhere else.","Also, one of the users mentioned how the edges on the macbook is sharp, if you have <span class=""AS"">money</span> to spend on one of the incase shells, it doesn't seem to be a problem.","We'll save our <span class=""AS"">money</span> to replace it with a Mac again!","In all honesty, if someone is looking for a quality laptop and willing to pay a little more <span class=""AS"">money</span> for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.","Best <span class=""AS"">money</span> I ever spent.","This system is not worth the <span class=""AS"">money</span> or trouble trying to get it fix.","I don't have that additional <span class=""AS"">money</span> right now, and therefore wouldn't have purchased it at this time.","It was an all around waste of <span class=""AS"">money</span> for me.","I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more <span class=""AS"">money</span> to get great quality!","Save your <span class=""AS"">money</span> and go for a better device.","Yes, a Mac is much more <span class=""AS"">money</span> than the average laptop out there, but there is no comparison in style, speed and just cool factor.","I'm so disgusted that I wasted my <span class=""AS"">money</span> on this product.","I'll rather be out of date then spend more <span class=""AS"">money</span> on toshiba.","IT save up a bit more <span class=""AS"">money</span> and buy a computer that will last.","It is well worth the <span class=""AS"">money</span> it cost, Very good investment.","Overall for the <span class=""AS"">money</span> this is a good deal."
service,,,,"So, I paid a visit to LG notebook <span class=""AS"">service</span> center at Alexandra Road, hoping they can make the hinge tighter.","The <span class=""AS"">service</span> tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","Do you think it's fun to take public transport all the way to the <span class=""AS"">service</span> center and get a non-satisfactory solution?","As usual at customer <span class=""AS"">service</span> center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","Its ease of use and the top <span class=""AS"">service</span> from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","They need to stop outsoucing and send some complaint calls to US based customer <span class=""AS"">service</span> agents for those who live in the United states.","After way too many times sending the thing in for repairs (delivery <span class=""AS"">service</span> was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","COMPUTER HAS BEEN AT <span class=""AS"">SERVICE</span> FACILITY","I heard their customer <span class=""AS"">service</span> was lacking and that they were working on improving it!","it definitely beats my old mac and the <span class=""AS"">service</span> was great.","When it come time for warranty <span class=""AS"">service</span> to Toshiba you don't matter.","The tech guy then said the <span class=""AS"">service</span> center does not do 1-to-1 exchange","In desparation, I called their Customer <span class=""AS"">Service</span> number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","The shop will definitely push the problem to the <span class=""AS"">service</span> center.","It arrived so fast and customer <span class=""AS"">service</span> was great.","If this is an improvement in Customer <span class=""AS"">Service</span> then I would hate too see what it was before!","The technical <span class=""AS"">service</span> for dell is so 3rd world it might as well not even bother.","thanks for great <span class=""AS"">service</span> and shipping!","They also have a longer <span class=""AS"">service</span> life than other computers (I have several friends who still use the older Apple PowerBooks).","then on top of it all their cusromer <span class=""AS"">service</span> center is in the middle east."
something,,,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's <span class=""AS"">something</span> to be said about the simplicity of Macs.","But then, <span class=""AS"">something</span> goes wrong.","so if your planning to listen to music I suggest you get <span class=""AS"">something</span> better.","Every day I had this computer, <span class=""AS"">something</span> failed on it.","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting <span class=""AS"">something</span> smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.","I think I might rather suffer for <span class=""AS"">something</span> that is simple to fix in my opinion.","My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need <span class=""AS"">something</span> to help him in school.","Apparently there is a manufacturing defect, <span class=""AS"">something</span> with the amount of thermal paste.","Those moments in thime where you want to throw <span class=""AS"">something</span> against the wall?","But Sony said we could send it back and be charged for adding the bluetooth an additional seventy <span class=""AS"">something</span> dollars.","If you are a person like me, more on the creative side, the mac has <span class=""AS"">something</span> for you too.","I needed <span class=""AS"">something</span> affordable from Apple and was tired of dealing with PC laptop after PC laptop.","Clearly, there is <span class=""AS"">something</span> wrong with the product and LG didn't take up the responsibility.","Unless you don't care how long it takes to get going, find <span class=""AS"">something</span> else.","I switched to this because I wanted <span class=""AS"">something</span> different, even though I miss windows.","I have a business website and every time I have to change <span class=""AS"">something</span> I have to go to the public library to use a PC.","Theres always <span class=""AS"">something</span> wrong with it, wether it be some virus","10 hours of battery life is really <span class=""AS"">something</span> else....","If you are looking for <span class=""AS"">something</span> reliable, this is the laptop for you.","it might be <span class=""AS"">something</span> deep within Windows, for I was unable to create a disk image on my hard drive."
people,,,,"While most <span class=""AS"">people</span> say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Looking online, many <span class=""AS"">people</span> are having the same problem.","They transfer you around to other <span class=""AS"">people</span> who do not understand what you are saying","Breaking within 1 year of purchase and speaking to 4+ <span class=""AS"">people</span> to report the damaged part will be returned late!","Before I begin, I will say that I am not like a good percentage of the <span class=""AS"">people</span> that will end up writing a review on this computer - I am not an Apple fanboy.","Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most <span class=""AS"">people</span> would have went with XP if they could.","While many <span class=""AS"">people</span> brag about Mac being ""intuitive"", it does take a little time to adjust to coming from a PC, but once I got the hang of it, I don't want to go back.","The <span class=""AS"">people</span> there just changed for me on the spot","Macs are designed for the ""frontal lobe challenged"" <span class=""AS"">people</span> out there.","I spoke to 4 different <span class=""AS"">people</span> and was told they needed to transfer me to a 5th person!","A tip for <span class=""AS"">people</span> looking into this computer:","In addition, there is photo detection software that will allow you to group all the photos together based upon the <span class=""AS"">people</span> in the picture.","Screen - although some <span class=""AS"">people</span> might complain about low res which I think is ridiculous.","Its seen in movies, sitcoms, prominent important <span class=""AS"">people</span> carry and use them and they are GREAT!","So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of <span class=""AS"">people</span> you cant understand.","only one way this computer might become the best is that it needs to upgreade patches  to make less easier for <span class=""AS"">people</span> to hack into","I know some <span class=""AS"">people</span> complained about HDMI issues but they released a firmware patch to address that issue.","He said quite a number of <span class=""AS"">people</span> had encountered this problem and said it is a common issue.","I feel that enough <span class=""AS"">people</span> have Macs these days and that companies need to start making things more compatable than they used to be.","Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for <span class=""AS"">people</span> that truly are trying to support his baby."
value,,,,"While most people say that PCs hold functionality and <span class=""AS"">value</span> and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Waiting for the i7 was well worth it, great <span class=""AS"">value</span> for the price.","The ATI graphics card is a huge plus, definitely a good <span class=""AS"">value</span> if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","It's because when you buy it, you know first thing that you will not lose any <span class=""AS"">value</span> for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","I claim that this has no <span class=""AS"">value</span> to me, the laptop was new anyway.","It's super fast and a great <span class=""AS"">value</span> for the price!"
look,,,,"While most people say that PCs hold functionality and value and Macs are just pretty to <span class=""AS"">look</span> at, I think there's something to be said about the simplicity of Macs.","It is everything I'd hoped it would be from a <span class=""AS"">look</span> and feel standpoint, but somehow a bit more sturdy.","Apparently well-built and gorgeous to <span class=""AS"">look</span> at, the i5 MacBook Pro is a winning combination of price and performance.","It's like 9 punds, but if you can <span class=""AS"">look</span> past it, it's GREAT!","I <span class=""AS"">look</span> forward to years of use, it has held up well over the years and it fits my needs very well.","When you <span class=""AS"">look</span> at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.","I am having a friend <span class=""AS"">look</span> at it , but will probably return it.","It's so nice to <span class=""AS"">look</span> at and the keys are easy to type with.","Since I keyboard over 100 wpm, I <span class=""AS"">look</span> for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","So if you want a good machine that does almost anything this is the one, if you want a low budget computer then <span class=""AS"">look</span> at the other great brands Best Buy sells.","So what if the laptops/mobile phones <span class=""AS"">look</span> chic and cool?","They don't just <span class=""AS"">look</span> good; they deliver excellent performance.","When considering a Mac, <span class=""AS"">look</span> at the total cost of ownership and not just the initial price tag.","Anyone who is considering buying an Acer computer of any sort, I seriously suggest you <span class=""AS"">look</span> into buying a different brand.","It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and <span class=""AS"">look</span> up book reviews of books I might buy.","the size and <span class=""AS"">look</span> is the most feature that attracted me to it."
windows,,,,"Microsoft seems to be unable to keep up with repairs for the multitude of <span class=""AS"">windows</span> problems.","There are no viruses or spyware to worry about like on a <span class=""AS"">Windows</span> computer.","Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on <span class=""AS"">Windows</span> machines.","I hope to edit this in the next few hours, I am going to try to install my own copy of <span class=""AS"">Windows</span> 7.","I also enjoy the fact that my MacBook Pro laptop allows me to run <span class=""AS"">Windows</span> 7 on it by using the VMWare program.","I love this program, it is superior to <span class=""AS"">windows</span> movie maker.","Upgrading from <span class=""AS"">Windows</span> 7 Starter, thru Windows 7 Home Premium, to Windows 7","Which is great I am running Vista Business and scored a 5.X on the index I have never seen a <span class=""AS"">windows</span> machine have a total score in the 5's.","With a MAC computer I have more free time as I don't have to wait for <span class=""AS"">windows</span> to boot up or shut down and all the viruses associated with windows.","but I am really liking <span class=""AS"">Windows</span> 8.","I love a ""pc"" but I was ready for a change and tired of the <span class=""AS"">windows</span> system.","I reinstalled <span class=""AS"">windows</span> through the recovery discs and everything seemed good again.","I loaded <span class=""AS"">windows</span> 7 via Bootcamp and it works flawlessly!","As a die-hard <span class=""AS"">Windows</span> enthusiast, I shunned the idea of a Mac until this point.","Biggest complaint is <span class=""AS"">Windows</span> 8 .","If you could stretch by a few 100 dollars I highly recommend you should replace your <span class=""AS"">Windows</span> laptop with this one.","I reloaded with <span class=""AS"">Windows</span> 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.","although its <span class=""AS"">windows</span> vista compared to windows xp sucks.","I run <span class=""AS"">windows</span> via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.","First things first, Macbook pro has many applications to make life easier, unlike the <span class=""AS"">windows</span> computers."
speed,,,,"The computer is so slow, even after paying staples the extra money to <span class=""AS"">speed</span> it up.","The <span class=""AS"">speed</span> difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.","It has so much more <span class=""AS"">speed</span> and the screen is very sharp.","Excellent <span class=""AS"">speed</span> for processing data.","It has good <span class=""AS"">speed</span> and plenty of hard drive space.","Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, <span class=""AS"">speed</span> and just cool factor.","the <span class=""AS"">speed</span> is fine.","It's software and <span class=""AS"">speed</span> enable it to do amazing things.","The <span class=""AS"">speed</span> gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.","Even though I could have gotten a pc twice the <span class=""AS"">speed</span> for the same price I still think there's nothing like a Mac.","From the <span class=""AS"">speed</span> to the multi touch gestures this operating system beats Windows easily.","Strong performance in this device makes use of fun and a strong sense of the era of <span class=""AS"">speed</span> This device serves all modern requirements is a very strong game and is very useful for designers.","It has easy to use features and all the <span class=""AS"">speed</span> and power I could ask for.","The internet <span class=""AS"">speed</span> is spectacular.","I would recommend it just because of the internet <span class=""AS"">speed</span> probably because thats the only thing i really care about.","The <span class=""AS"">speed</span> is incredible and I am more than satisfied.","It is the perfect size and <span class=""AS"">speed</span> for me.","I work in film editing and post production, so I need a laptop that not only has power, but memory and <span class=""AS"">speed</span> as well."
videos,video,,,"Can listen to my music and watch my <span class=""AS"">videos</span> with ease and with a great display.","Looking to take my <span class=""AS"">video</span> and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop.","Right out of the box, this little netbook did everything I asked of it, including streaming the everyday <span class=""AS"">video</span> you're bound to encounter checking mail and websites (my biggest complaint previously).","The cool thing about the Mac Book was that I went on my honeymoon and shot a bunch of pictures and movies with my iPhone, then I came back and put them onto my Macbook and made a pretty good DVD movie with all the pictures and <span class=""AS"">videos</span> from my trip.","overall i would recomend this to anybody and tell them that if they want to burn their music or play there <span class=""AS"">video</span> games to buy the cd drive.","It's great for streaming <span class=""AS"">video</span> and other entertainment uses.","I can throw anything at it (and I do), Pictures, <span class=""AS"">video</span> editing, schoolwork.","The <span class=""AS"">video</span> chat is the only thing that is iffy about it","my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated <span class=""AS"">video</span> card.","It's also very capable of doing moderate <span class=""AS"">video</span> editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).","They have developed excellent proprietary software for editing <span class=""AS"">video</span> and pictures","The online tutorial <span class=""AS"">videos</span> make it super easy to learn if you have always used a PC.","Theres a built in camera with special effects- for <span class=""AS"">video</span> and photography.","I work with kids and they love making short <span class=""AS"">videos</span> on there.","That being said, it still runs <span class=""AS"">video</span> in full screen decently.","The <span class=""AS"">video</span> card is great for media, and above average for gaming, but not a gamers first choice."
years,year,,,"I was a little weary at purchasing another 13"" macbook almost 2 <span class=""AS"">years</span> later","My power supply cord developed exposed wires within the first <span class=""AS"">year</span> of ownership, so it was covered by the Applecare warranty plan.","The first time it crashed was maybe going on a <span class=""AS"">year</span> and a half of having it.","After <span class=""AS"">years</span> of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the Apple route.","I upgraded from a 5 <span class=""AS"">year</span> old laptop and was amazed to find out that this computer is much slower then my old laptop.","Prior to this computer, I owned a PowerBook G4 for 6 <span class=""AS"">years</span> (quite a long time for a laptop).","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 <span class=""AS"">years</span> ago.","I have had a Mac for 6 <span class=""AS"">years</span> and won't go back to PC.","I was given a Mac as a birthday present and couldn't be happier with it 3 <span class=""AS"">years</span> later.","My battery went bad about a <span class=""AS"">year</span> and a half after having it and it cost around eighty to a hundred dollars!","Both computers started acting extremely slow within the first <span class=""AS"">year</span> of owning them.","I had the computer for a full <span class=""AS"">year</span> and it was a new computer.","My kids have to take their PCs in once a <span class=""AS"">year</span> to have them ""de-bugged"".","Breaking within 1 <span class=""AS"">year</span> of purchase and speaking to 4+ people to report the damaged part will be returned late!","I'm still within the one <span class=""AS"">year</span> warranty but the repair ""depot""","They told me to reprogram the computer, and I didn't need  to do that, and I lost pictures of my oldests first 2 <span class=""AS"">years</span> of her  life.","Two <span class=""AS"">years</span> after buying this laptop, I am now the proud owner of a lemon.","I bought this Mac book pro along with a new 27"" iMac and while they are still light <span class=""AS"">years</span> more reliable than a PC I have noticed a decline in the reliability of my Mac computers.","So a couple of <span class=""AS"">years</span> later, I was a dumb college girl and had to have the wireless internet.","After a little more than a <span class=""AS"">year</span> of owning my MacBook Pro, the monitor has completely died."
macbooks,,,,"but t looks like the newer <span class=""AS"">macbooks</span> have gotten its current line of graphics cards in order this time around.","Besides being elegant, the <span class=""AS"">MacBooks</span> are durable.","Although the price is higher then Dell laptops, the <span class=""AS"">Macbooks</span> are worth the dough.","In the shop, these <span class=""AS"">MacBooks</span> are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it","Also, <span class=""AS"">macbooks</span> come with much more features which are so cool!","This is the third in a series of <span class=""AS"">MacBooks</span> starting with a Black MacBook."
products,product,,,"Received the <span class=""AS"">product</span> promptly and without any issues.","That was my first Apple <span class=""AS"">product</span> and since then I have been incredibly happy with every product of theirs I have bought.","It's a great <span class=""AS"">product</span> for a great price!","The <span class=""AS"">product</span> is prefect for everyone.","The price was very good, and the <span class=""AS"">product</span> is top quality.","They were great in handling this problem, and I'm looking forward in purchasing additonal <span class=""AS"">products</span> from them in the future.","This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better <span class=""AS"">product</span> quality for this price range.","(you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their <span class=""AS"">product</span> line as a gift for events like this).","I am not happy at all with the <span class=""AS"">product</span> I purchased.","Clearly, there is something wrong with the <span class=""AS"">product</span> and LG didn't take up the responsibility.","Great <span class=""AS"">product</span> by Apple with the new great looking design.","The MacBook Pro is a great <span class=""AS"">product</span> which can meet the needs of the average consumer.","THE <span class=""AS"">PRODUCT</span> KEY.","I haven't used the <span class=""AS"">product</span> long enough to write a detailed technical review.","This MacBook is an outstanding <span class=""AS"">product</span> with great value.","I bought my first MacBook after seeing the <span class=""AS"">product</span> demonstrated.","I would not recommend this <span class=""AS"">product</span> to anyone.","I was not aware that this <span class=""AS"">product</span> cannot display websites that contain Flash.","Apple is unmatched in <span class=""AS"">product</span> quality,aesthetics,craftmanship, and customer service.","The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the <span class=""AS"">products</span> we purchased."
design,,,,"Wonderful sleek case <span class=""AS"">design</span> is only on the outside.","I would say that 85% of the <span class=""AS"">design</span> industry is Mac for good reason.","Apple is aware of this issue and this is either old stock or a defective <span class=""AS"">design</span> involving the intel 4000 graphics chipset.","I grew up in a <span class=""AS"">design</span> family so it only made sense.","The unibody <span class=""AS"">design</span> is edgy and durable.","the hinge <span class=""AS"">design</span> forced you to place various connections all around the computer, left right and front.","The quality, engineering <span class=""AS"">design</span> and warranty are superior--covers damage from dropping the laptop.","The large screen also helps when you are working in <span class=""AS"">design</span> based programs like Adobe Creative Suite.","Overall, this laptop is definitely a keeper with its simple yet stylish <span class=""AS"">design</span> and its array of fantastic colors to choose from.","but it  has a major <span class=""AS"">design</span> flaw.","The reason why I choose apple MacBook because of their <span class=""AS"">design</span> and the aluminum casing.","After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek <span class=""AS"">design</span> and promise of less tech issues.","It shouldn't happen like that, I don't have any <span class=""AS"">design</span> app open or anything.","I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the <span class=""AS"">design</span> of the macbook as it is one very large heat sink.","I like the <span class=""AS"">design</span> and ease of use with the keyboard, plenty of ports."
techs,tech,,,"The service <span class=""AS"">tech</span> said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","I haven't used it for anything high <span class=""AS"">tech</span> yet, but I love it already.","I don't do any high <span class=""AS"">tech</span> stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.","None of the <span class=""AS"">techs</span> at HP knew what they were doing.","When you call <span class=""AS"">tech</span> support you were routed to someone who was in another country and did not know what they were doing.","I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) <span class=""AS"">techs</span> that walked me through the processes to help me.","The built in camera is very useful when chatting with other <span class=""AS"">techs</span> in remote buildings on our campus.","The <span class=""AS"">tech</span> guy then said the service center does not do 1-to-1 exchange","But the biggest pain is that <span class=""AS"">tech</span> support is not available 24/7.","I agree with the previous comment that ASUS <span class=""AS"">TECH</span> SUPPORT IS HORRIBLE","I understand I should call Apple <span class=""AS"">Tech</span> Support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.","It took Toshiba tech support 4 calls and 4 different <span class=""AS"">techs</span> to correct the problem.","It took Toshiba <span class=""AS"">tech</span> support 4 calls and 4 different techs to correct the problem.","After numerous calls to Applecare <span class=""AS"">tech</span> support, I was directed to send in my computer;","After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less <span class=""AS"">tech</span> issues.","The <span class=""AS"">tech</span> store I purchased this from sent it back,,,,,eventually","Finally, the biggest problem has been <span class=""AS"">tech</span> support.","Call <span class=""AS"">tech</span> support, standard email the form and fax it back in to us.","Ive had to call <span class=""AS"">tech</span> support many times.","I could not find a phone number anywhere to call an actual live person for <span class=""AS"">tech</span> support and had to result the their online chat."
use,,,,"While I mostly <span class=""AS"">use</span> it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.","Its ease of <span class=""AS"">use</span> and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","it was easy to setup and install, but I am learning as I go and could <span class=""AS"">use</span> a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.","Currently if I <span class=""AS"">use</span> the laptop I can't sit it on my lap because it will burn my legs.","Comfterbale to <span class=""AS"">use</span> light easy to transport.","Got this for a graduation gift for my daughter for her to <span class=""AS"">use</span> at college.","this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to <span class=""AS"">use</span> my cam and mic","I <span class=""AS"">use</span> that alot on my desktop, so I am adjusting to not having it.","I thought the white Mac computers looked dirty too quicly where you <span class=""AS"">use</span> the mousepad and where you place your hands when typing.","It has come into good <span class=""AS"">use</span> for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.","Small enough to <span class=""AS"">use</span> on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.","A mac is very easy to <span class=""AS"">use</span> and it simply makes sense.","I had a USB connect but, i can't <span class=""AS"">use</span> it because it is not compatible.","He loves it and it is easy to <span class=""AS"">use</span> and well the schools start teaching the kids early about computers so it was easy for him to get started.","The ease of <span class=""AS"">use</span> is wonderful.","I can barely <span class=""AS"">use</span> any usb devices because they will not stay connected properly.","the only fact i dont like about apples is they generally <span class=""AS"">use</span> safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.","touchpad mode is interesting, and easy to <span class=""AS"">use</span> -5","and it comes with the new OSX that comes with new features that makes the <span class=""AS"">use</span> more easy.","As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they <span class=""AS"">use</span> higher-quality components that are faster, better-configured, and end up lasting a lot longer."
internet,,,,"While I mostly use it for email, <span class=""AS"">internet</span> and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.","More times that not the screen pops up saying I have a bad <span class=""AS"">internet</span> connection, or the page can't be displayed.","Graphics are clean and sharp, <span class=""AS"">internet</span> interfaces are seamless.","If <span class=""AS"">internet</span> connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.","the <span class=""AS"">internet</span> can be an scary place its up to you on what you do with it.","My wireless provider confirmed my home <span class=""AS"">internet</span> is fine, and any connections I turn on should work.","I go and might require <span class=""AS"">internet</span> access.","It is fast and i have not had a problem with <span class=""AS"">internet</span> connection or any other problems.","The <span class=""AS"">Internet</span> Explorer was very slow from the very beginning.","With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and <span class=""AS"">internet</span> surfing or emails.","The <span class=""AS"">internet</span> capabilities are also very strong and picks up signals very easily.","I recommend for word processing and <span class=""AS"">internet</span> users.","I did an <span class=""AS"">internet</span> search and this is a very common problem with this  laptop.","The Apple will run <span class=""AS"">Internet</span> Explorer, but at an amazingly slow rate.","Seems to slow down occassionally but can run many applications (ie <span class=""AS"">Internet</span> tabs, programs, etc) simultaneously.","It works great for general <span class=""AS"">internet</span> use, Microsoft Office apps, home bookkeeping, etc.","The <span class=""AS"">internet</span> speed is spectacular.","I have found also, it is very easy to be able to access wireless <span class=""AS"">internet</span> access;","It does not keep <span class=""AS"">internet</span> signals no matter where you bring it.","do a quick search on the <span class=""AS"">internet</span> see if im the only one."
applications,application,,,"While I mostly use it for email, internet and gaming, I'm confident all other <span class=""AS"">applications</span> live up to the high standard I've come to appreciate from Mac laptops.","would appear when running Office Mac <span class=""AS"">applications</span> such as Word or Excel.","However, the experience was great since the OS does not become unstable and the <span class=""AS"">application</span> will simply shutdown and reopen.","First things first, Macbook pro has many <span class=""AS"">applications</span> to make life easier, unlike the windows computers.","I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other <span class=""AS"">applications</span> constantly at the same time.","The system constantly overheats, the battery life is too short, the case is coming apart, and my core <span class=""AS"">applications</span> that I use every day in my work as a graphic artist run poorly.","Garageband is easy to work with, like all the other apple <span class=""AS"">applications</span> I've had experience with.",", <span class=""AS"">Applications</span> respond immediately (not like the tired MS applications).","I have not had a problem with the <span class=""AS"">applications</span> quitting or freezing.","The Apple <span class=""AS"">applications</span> (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","WIth the upgraded memory, the MacBook Pro never has an issue running many many <span class=""AS"">applications</span> at once!","Compared to the early 2011 edition I did see inbuilt <span class=""AS"">applications</span> crashing and it prompted me to send the report to Apple (which I promptly did).","It's <span class=""AS"">applications</span> are terrific, including the replacements for Microsoft office.","Seems to slow down occassionally but can run many <span class=""AS"">applications</span> (ie Internet tabs, programs, etc) simultaneously.","BUT there's this <span class=""AS"">application</span> called Boot Camp which allows you to add another OS X like Windows.","The performance seems quite good, and built-in <span class=""AS"">applications</span> like iPhoto work great with my phone and camera."
help,,,,"When I got this laptop in 2007 to <span class=""AS"">help</span> me with school, I had a hard time from beginning.","My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to <span class=""AS"">help</span> him in school.","I would recomend this acer to parents and grandparents it can really <span class=""AS"">help</span> them in school.","the size of has actually <span class=""AS"">help</span> me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.","Acer was no <span class=""AS"">help</span> and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer","The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to <span class=""AS"">help</span> me, they said my warrenty was up and hung up on me.","I needed a driver for my HP and they would not <span class=""AS"">help</span> me with out me paying over $50 for it.","I hate wasting my time with hellos and how can I <span class=""AS"">help</span> you's.","After that I turned to email in my next vain <span class=""AS"">help</span> to get them to acknowledge that the warranty was still valid.","A lot of <span class=""AS"">help</span> they WEREN'T!","after trying to get some <span class=""AS"">help</span> he disconnected on me.","I have found a lot of online sources to <span class=""AS"">help</span> me but think that I would have learned a lot quicker if I would have taken the class.","The only thing that I have, is the key broad is a little dark to see the letters, would <span class=""AS"">help</span> if it was a little lighter then it is.","Steve Jobs, probably needs <span class=""AS"">help</span> and donations, and cannot afford a reasonable offers for people that truly are trying to support his baby.","There is a little indent to <span class=""AS"">help</span> open it - but good luck with that."
