Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
everything,,,,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get <span class=""AS"">everything</span> done.","Starts up in a hurry and <span class=""AS"">everything</span> is ready to go.","Probably as good as you can get in a netbook, does <span class=""AS"">everything</span> I ask for and has some very good unexpected pluses.","I can do <span class=""AS"">everything</span> I could before, only faster and more efficiently.","I wiped nearly <span class=""AS"">everything</span> off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.","Does <span class=""AS"">everything</span> I wanted this laptop to do.","This computer does <span class=""AS"">everything</span> i need it to do for school and more.","It has <span class=""AS"">everything</span> you need to get the job done.","I do <span class=""AS"">everything</span> on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.","It is <span class=""AS"">everything</span> I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","As far as user type - I dabble in <span class=""AS"">everything</span> from games (WoW) to Photoshop, but nothing professionally.","Dell wanted to charge us for <span class=""AS"">everything</span> everytime I called them with a problem.","It allows me to do <span class=""AS"">everything</span> I need from a computer and more.","Every driver on the drivers/applications DVD is <span class=""AS"">everything</span> you will need for a reload.","Super light, super sexy and <span class=""AS"">everything</span> just works.","It pretty much does <span class=""AS"">everything</span> we could ever need, and looks great to boot.","This laptop does <span class=""AS"">everything</span> I need it to very well.","Its <span class=""AS"">everything</span> mac offers.","It is very fast and has <span class=""AS"">everything</span> that I need except for a word program.","This thing is awesome, <span class=""AS"">everything</span> always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for."
shipping,,,,"The computer is currently in West Verginia doe to the method of <span class=""AS"">shipping</span> choosen by Toshiba.","Summary: HP knew they were <span class=""AS"">shipping</span> out bad BIOS and did nothing proactive to resolve it.","The 13"" Macbook Pro just fits in my budget and with free <span class=""AS"">shipping</span> and no tax to CA","HOWEVER I chose two day <span class=""AS"">shipping</span> and it took over a week to arrive.","however, I may have inadvertently thrown out one of the batteries with the <span class=""AS"">shipping</span> carton.","Called Acer many times, they want me to pay the <span class=""AS"">shipping</span> to ship it to their repair center"
macbook,,,,", which Apple doesn't offer, is why I bought my <span class=""AS"">MacBook</span> at Best Buy.","Then only FOUR months later, my great <span class=""AS"">MacBook</span> pro FAILED.","If you want more information on macs I suggest going to apple.com and heading towards the <span class=""AS"">macbook</span> page for more information on the applications.","I have had my new <span class=""AS"">Macbook</span> Pro i5 for a couple of days and have recycled ALL of my old PC laptops.","The <span class=""AS"">macbook</span> pro is really responsive.","I had a <span class=""AS"">MacBook</span> Notebook, and it had absolutely no protection from viruses, spyware, malware, etc.","I love the 15"" <span class=""AS"">MacBook</span> Pro.","This was my first <span class=""AS"">MacBook</span> purchase ever.","This version of <span class=""AS"">MacBook</span> Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","My only disappointment with the 13"" model is that they're the only ones in the <span class=""AS"">MacBook</span> Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","And the warranty on this <span class=""AS"">macbook</span> pro can last up to 5 years or 1000 battery recharge cycles.","This is the first <span class=""AS"">macbook</span> I have ever had.","I have owned <span class=""AS"">macbook</span> pros since 2005 and this is the best yet!","I have never had any issues or problems with my <span class=""AS"">MacBook</span> Pro so far, and it is still as fast as it was when I first bought it.","But see the <span class=""AS"">macbook</span> pro is different because it may have a huge price tag","I got the <span class=""AS"">Macbook</span> and he got a Macbook Pro.","I visited the Apple Store and was impressed with the 17-inch <span class=""AS"">MacBook</span> Pro.","I had my PC laptop for 3 years and going to a <span class=""AS"">MacBook</span> Pro","I love my <span class=""AS"">macbook</span> pro!","Obviously, this <span class=""AS"">Macbook</span> is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way."
power,,,,"The hard drive crashed as well, and I had to buy a new  <span class=""AS"">power</span> cord.","Needs a CD/DVD drive and a bigger <span class=""AS"">power</span> switch.","I need graphic <span class=""AS"">power</span> to run my Adobe Creative apps efficiently.","When this happened I would have to completely <span class=""AS"">power</span> off my computer and restart it.","Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even <span class=""AS"">power</span> on.","It has easy to use features and all the speed and <span class=""AS"">power</span> I could ask for.","I'm extremely happy with my purchase as I now have the portable <span class=""AS"">power</span> I have been looking for.","and they replaced the awesome ergonomic small lightweight <span class=""AS"">power</span> supply with a power supply that weighed more than the machine itself.","The casing of the <span class=""AS"">power</span> cord fried and shocked my husband when he pulled it out of the socket.","HOW DOES THE <span class=""AS"">POWER</span> SUPPLY NOT WORK!!!","Unless you want to be inconvenienced with a non working <span class=""AS"">power</span> supply which you can't find a replacement for because they made the attachment so small.","Needs <span class=""AS"">Power</span> and Mouse Cable to Plug in back instead of side,","Once again, I was told it was the suspicious  <span class=""AS"">power</span> supply  problem.","The ""abuse"" is that I pushed the <span class=""AS"">power</span> plug in too hard.","The sheer <span class=""AS"">power</span> and flexibility makes the MacBook Pro a must have for any techie!","The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the <span class=""AS"">power</span> for HD or heavy computing.","Very long-life battery (up to 10-11 hours depending on how you configure <span class=""AS"">power</span> level settings).","I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her <span class=""AS"">power</span> adapter, so","It gives me the <span class=""AS"">power</span> and speed that I need to run all the programs I use to edit.","Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the <span class=""AS"">power</span> brick."
drives,drive,,,"The hard <span class=""AS"">drive</span> crashed as well, and I had to buy a new  power cord.","Needs a CD/DVD <span class=""AS"">drive</span> and a bigger power switch.","Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard <span class=""AS"">drive</span> crashed.","I am not sure if it was the <span class=""AS"">drive</span> itself, however;","The speed difference is next to NOTHING for a mac, and the hard <span class=""AS"">drive</span> can be manually upgraded or you could just buy a $60 500gb external hard drive.","After replacing the hard <span class=""AS"">drive</span> the battery stopped working  (3 months of use) which was frustrating.","I can't believe how quiet the hard <span class=""AS"">drive</span> is and how quick this thing boots up.","I did add a SSD <span class=""AS"">drive</span> and memory","While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can <span class=""AS"">drive</span> you crazy trying to deal with the PC world.","I asked them if they were seriously trying to <span class=""AS"">drive</span> me insane!","They say that this will invalidate the warranty on the hard <span class=""AS"">drive</span> (I don't really understand why but anyway).","I gave it to my daughter because I just hated the screen, hated that it had no cd <span class=""AS"">drive</span> to at least play cd's when I wanted to listen to music and do schoolwork.","It caught a virus that completely wiped out my hard <span class=""AS"">drive</span> in a matter of hours.","It's ok but doesn't have a disk <span class=""AS"">drive</span> which I didn't know until after I bought it.","I connect a LaCie 2Big external <span class=""AS"">drive</span> via the firewire 800 interface, which is useful for Time Machine.","So, after Apple replaced the hard <span class=""AS"">drive</span> I enjoyed another 4 months of my new computer, until it froze this morning--completely.","It has good speed and plenty of hard <span class=""AS"">drive</span> space.","I was concerned that the downgrade to the regular hard <span class=""AS"">drive</span> would make it unacceptably slow","Apple removed the DVD <span class=""AS"">drive</span> Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.","One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard <span class=""AS"">drive</span> light steady and not flashing as it usually does."
years,year,,,"And I'm still paying the bloody financing, for a product which didn't last me at least three <span class=""AS"">years</span> !","while about 8 <span class=""AS"">years</span> ago, I hope that the quality has changed.","I really wish I had done this <span class=""AS"">years</span> ago.","Almost 4 <span class=""AS"">years</span> ago I bought what was then the current, up to date HP Pavilion--","And the warranty on this macbook pro can last up to 5 <span class=""AS"">years</span> or 1000 battery recharge cycles.","Accordingly, I have decided to NEVER purchase another HP product (my five <span class=""AS"">year</span> old Compaq) lasted 5-years before the hard drive crashed.","It lasted for many <span class=""AS"">years</span> of travel, kids and abuse and if I fired it up today, it would work.","What angers me more than anything else is that I spent all those <span class=""AS"">years</span> hating MACs when I could have been getting a lot more production with a whole lot less grief!","Before we got this laptop, had a compaq pasaro for 5 <span class=""AS"">years</span> with no problems.","I had my PC laptop for 3 <span class=""AS"">years</span> and going to a MacBook Pro","Perfect for all my graphic design classes I'm taking this <span class=""AS"">year</span> in college :-)","I bought this one for my 11 <span class=""AS"">year</span> old and the MacBook Air for my 9 year old.","three <span class=""AS"">years</span> is a decent life, but this must make it to graduation and beyond.","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 <span class=""AS"">years</span> ago.","Have purchased many products over the <span class=""AS"">years</span> from MacConnection and this transaction, like all the others, we smoothly with no problems.","Both computers started acting extremely slow within the first <span class=""AS"">year</span> of owning them.","If you had PC for four <span class=""AS"">years</span> I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.","I was a little worry at first because I don't have a lot of experience with os.x and windows has always been second nature to me after many <span class=""AS"">years</span> of using windows.","I have had it over a <span class=""AS"">year</span> now with out a Glitch of any kind..","And that probably explains why I've already had my SATA controller go bad within a <span class=""AS"">year</span> of buying it."
dell,,,,"I like it better than my big <span class=""AS"">Dell</span> Laptop.","I just can't fathom that the celebrated <span class=""AS"">Dell</span> would last a week in environment of free competition with normal products - it only survives b/c its substandard laptops are forced onto captive students and employees through question-raising programs.","My problem was with <span class=""AS"">DELL</span> Customer Service.","while it was barely a bargin in the begining, i would never purchase another <span class=""AS"">dell</span> and would not recomend the dell brand to others.","The technical service for <span class=""AS"">dell</span> is so 3rd world it might as well not even bother.","I would never buy a <span class=""AS"">Dell</span> again.","I bought this Mac in order to replace my old <span class=""AS"">Dell</span> laptop.","The <span class=""AS"">Dell</span> mini was the first Dell product that I had ever purchased.","it is the worst computer <span class=""AS"">dell</span> ever made.","She said Wal Mart rants and raves abouy carring <span class=""AS"">Dell</span> because it's a big name but they are a piece of garbage.","dv6700 was my first laptop, before this I had a <span class=""AS"">Dell</span> desktop that I loved.","I never had this kind of quality issue with <span class=""AS"">Dell</span> (not to say Dell is that great), not with a brand new laptop.","I previously owned an HP desktop and a <span class=""AS"">Dell</span> laptop.","I first purchased this <span class=""AS"">Dell</span> model ""1764"" on April 6, 201","Whenever I call <span class=""AS"">Dell</span> about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.","My previous purchases were with <span class=""AS"">Dell</span> and HP.","If internet connectivity is important I would recommend going with a <span class=""AS"">dell</span> net book for 50 bucks more, or buy a USB wireless card.","We purchase the <span class=""AS"">Dell</span> XPS several years ago for my home business.","I had in the past a <span class=""AS"">Dell</span> laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.","I came from the <span class=""AS"">Dell</span> Laptops and now I am so glad I switched when I needed a new laptop."
applications,application,,,"The <span class=""AS"">applications</span> are also very easy to find and maneuver, much easier than any other computer I have ever owned.","also it comes with very useful <span class=""AS"">applications</span> like iphoto that it is the best photo application i have ever had","However, the experience was great since the OS does not become unstable and the <span class=""AS"">application</span> will simply shutdown and reopen.","Garageband is easy to work with, like all the other apple <span class=""AS"">applications</span> I've had experience with.","The Apple <span class=""AS"">applications</span> (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other <span class=""AS"">applications</span> constantly at the same time.","Compared to the early 2011 edition I did see inbuilt <span class=""AS"">applications</span> crashing and it prompted me to send the report to Apple (which I promptly did).","I have not had a problem with the <span class=""AS"">applications</span> quitting or freezing.","The system constantly overheats, the battery life is too short, the case is coming apart, and my core <span class=""AS"">applications</span> that I use every day in my work as a graphic artist run poorly.","WIth the upgraded memory, the MacBook Pro never has an issue running many many <span class=""AS"">applications</span> at once!",", <span class=""AS"">Applications</span> respond immediately (not like the tired MS applications).","The performance seems quite good, and built-in <span class=""AS"">applications</span> like iPhoto work great with my phone and camera."
windows,window,,,"This system came loaded with <span class=""AS"">Windows</span> 7 Starter.","I hope to edit this in the next few hours, I am going to try to install my own copy of <span class=""AS"">Windows</span> 7.","I have only had PCs with <span class=""AS"">Windows</span> before so","The only objection I have is that after you buy it the <span class=""AS"">windows</span> 7 system is a starter and charges for the upgrade.","I also wanted <span class=""AS"">Windows</span> 7, which this one has.","Upgrading from <span class=""AS"">Windows</span> 7 Starter, thru Windows 7 Home Premium, to Windows 7","I love a ""pc"" but I was ready for a change and tired of the <span class=""AS"">windows</span> system.","I don't have stupid pop up <span class=""AS"">windows</span> (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.","The OS takes some getting used to especially after being a <span class=""AS"">Windows</span> user for so long but the learning curve is so worth it!","Once you get past learning how to use the poorly designed <span class=""AS"">Windows</span> 8 Set-Up you may feel frustrated.","I loved the netbook (minus the fact that it was <span class=""AS"">windows</span> OS) until this started happening.","Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on <span class=""AS"">Windows</span> machines.","If you really want a bang-up system and don't need to run <span class=""AS"">Windows</span> applications, go with an Apple;","There are no viruses or spyware to worry about like on a <span class=""AS"">Windows</span> computer.","I also like that you can scroll down in a <span class=""AS"">window</span> using two fingers on the trackpad.","My wireless system would not recognize <span class=""AS"">Windows</span> 7 and I couldn't get online to find out why.","I was given a demonstration of <span class=""AS"">Windows</span> 8.","There also seemed to be a problem with the hard disc as certain times <span class=""AS"">windows</span> loads but claims to not be able to find any drivers or files.","My laptop with <span class=""AS"">Windows</span> 7 crashed and I did not want Windows 8.","As a lifelong <span class=""AS"">Windows</span> user, I was extremely pleased to make the change to Mac."
system,,,,"This <span class=""AS"">system</span> came loaded with Windows 7 Starter.","The only objection I have is that after you buy it the windows 7 <span class=""AS"">system</span> is a starter and charges for the upgrade.","It could be a perfect laptop if it would have faster <span class=""AS"">system</span> memory and its radeon 5850 would have DDR5 instead of DDR3.","It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the <span class=""AS"">system</span> a bit.","This <span class=""AS"">system</span> is not worth the money or trouble trying to get it fix.","If you really want a bang-up <span class=""AS"">system</span> and don't need to run Windows applications, go with an Apple;","My wireless <span class=""AS"">system</span> would not recognize Windows 7 and I couldn't get online to find out why.","It had a cooling <span class=""AS"">system</span> malfunction after 10 minutes of general use, and would not move past this error.","The new operating <span class=""AS"">system</span> makes this computer into a super iPad.","Additionally, there is barely a ventilation <span class=""AS"">system</span> in the computer, and even the simple activity of watching videos let alone playing steam games","Somehow the <span class=""AS"">system</span> clock got messed up after reboot.","The operating <span class=""AS"">system</span> and user interface is very intuitive, and the large multi-touch track pad is amazing.","Screen is crystal clear and the <span class=""AS"">system</span> is very responsive.","Drivers updated ok but the BIOS update froze the <span class=""AS"">system</span> up and the computer shut down.","I noticed windows has a new <span class=""AS"">system</span> called Windows 7, what about us Vista users?","When I finally had everything running with all my software installed I plugged in my droid to recharge and the <span class=""AS"">system</span> crashed.","There was a little difficulty doing the migration as the firewire cable <span class=""AS"">system</span> can't be used with the iBook.","I would like to use a different operating <span class=""AS"">system</span> altogether.","At first it worked well for a month or so then the <span class=""AS"">system</span> board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem","It would not let me connect to my Wifi <span class=""AS"">system</span> where I lived."
person,,,,"The size is perfect and I do not recomend anything bigger except for any <span class=""AS"">person</span> who can exceed the limited space it gives you.","My Iphone synced right up just like a <span class=""AS"">person</span> would expect, unlike the PCs in our lives.","Not good for a <span class=""AS"">person</span> who gets online daily.","Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other <span class=""AS"">person</span> important in your life that there may be.","i would really recommend to any <span class=""AS"">person</span> out there to get this laptop cause its really worth it.","I could not find a phone number anywhere to call an actual live <span class=""AS"">person</span> for tech support and had to result the their online chat.","If you are a <span class=""AS"">person</span> like me, more on the creative side, the mac has something for you too.","I would buy one of these for every <span class=""AS"">person</span> in my office if I could.","Many kinds of software that is necessary to the working <span class=""AS"">person</span> is not available and cannot be downloaded.","i am a huge computer <span class=""AS"">person</span> i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing."
space,,,,"The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited <span class=""AS"">space</span> it gives you.","I considered I may have too much on the computer, but after looking, there was plenty of <span class=""AS"">space</span> and that is not the issue.","The smaller size was a bonus because of <span class=""AS"">space</span> restrictions.","but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more <span class=""AS"">space</span> then they have.","Also, the <span class=""AS"">space</span> bar makes a noisy click every time you use it.","Hard disk - The new editions gives you more hard disk <span class=""AS"">space</span> (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.","lots of extra <span class=""AS"">space</span> but the keyboard is ridiculously small."
anything,,,,"The size is perfect and I do not recomend <span class=""AS"">anything</span> bigger except for any person who can exceed the limited space it gives you.","If your time is worth <span class=""AS"">anything</span> to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.","Amazing Performance for <span class=""AS"">anything</span> I throw at it.","So honestly, I wasn't expecting <span class=""AS"">anything</span> less than perfection, and I wasn't disappointed.","What angers me more than <span class=""AS"">anything</span> else is that I spent all those years hating MACs when I could have been getting a lot more production with a whole lot less grief!","But to be honest, I don't use my computer for <span class=""AS"">anything</span> like graphics editing and complex data analysis and gaming.","You can do absolutely <span class=""AS"">anything</span> and is very fast and stylish.","I baby my electronics so I know for a fact it was defective and not <span class=""AS"">anything</span> that I did to it.","I can throw <span class=""AS"">anything</span> at it (and I do), Pictures, video editing, schoolwork.","I will never buy <span class=""AS"">anything</span> from HP again!","It was just one problem after another for me, and that's reason we had forked out so much money was so we wouldn't have <span class=""AS"">anything</span> to worry about.","But, at the same time they (the company) would not and could not do <span class=""AS"">anything</span> about my problem.","I think this is about as good as it gets at <span class=""AS"">anything</span> close to this price point.","So if you want a good machine that does almost <span class=""AS"">anything</span> this is the one, if you want a low budget computer then look at the other great brands Best Buy sells.","my niece and nephew have played a few web games and it runs <span class=""AS"">anything</span> that doesn't require a dedicated video card.","When I called Toshiba, they would not do <span class=""AS"">anything</span> and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.","windows based machines were not giving me <span class=""AS"">anything</span> to work with!","-When I started worrying for not hearing <span class=""AS"">anything</span> from them, I tried to call.","also the keyboard does not liht up so unless your sitting in a room with some light you cant see <span class=""AS"">anything</span> and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.","Yet, HP won't do <span class=""AS"">anything</span> about the problem."
size,,,,"The <span class=""AS"">size</span> is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.","Right <span class=""AS"">size</span> and weight for portability.","i love the <span class=""AS"">size</span> of the computer since i play games on it.","Screen <span class=""AS"">size</span> is perfect for portable use in any environment.","I also love the small, convenient <span class=""AS"">size</span> of my laptop, making it a perfect tool for my academic studies.","It is the perfect <span class=""AS"">size</span> and speed for me.","They are about the same <span class=""AS"">size</span> keys.","At home and the office it gets plugged into an external 24"" LCD screen, so built in screen <span class=""AS"">size</span> is not terribly important.","The downside to this netbook is pretty much the same for any netbook: screen <span class=""AS"">size</span> is not something I'd stare at for the entire 10-11 hours of battery life five days a week.","The smaller <span class=""AS"">size</span> was a bonus because of space restrictions.","I really like the <span class=""AS"">size</span> and I'm a fan of the ACERS.","This computer is exceptionally thin for it's screen <span class=""AS"">size</span> and processing power.","also...- excellent operating system- <span class=""AS"">size</span> and weight for optimal mobility- excellent durability of the battery-","It is a great <span class=""AS"">size</span> and amazing windows 8 included!","It's been time for a new laptop, and the only debate was which <span class=""AS"">size</span> of the Mac laptops, and whether to spring for the retina display.","It is lightweight and the perfect <span class=""AS"">size</span> to carry to class.","Awesome laptop and the perfect <span class=""AS"">size</span> to carry around in college.","But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great <span class=""AS"">size</span> if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.","Its <span class=""AS"">size</span> is ideal and the weight is acceptable.","Did I mention everything about it, from <span class=""AS"">size</span> to weight to keyboard screams BULK?"
time,,,,"My friends are in awe every <span class=""AS"">time</span> they come over!","This is the first <span class=""AS"">time</span> that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.","But as <span class=""AS"">time</span> went on I found it almost impossible to keep the thing on-line through wi-fi.","If your <span class=""AS"">time</span> is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.","Being a PC user my whole life, it's taking a bit of <span class=""AS"">time</span> to adapt to the OS of a Mac","Connecting to my wireless router via built-in wireless took no <span class=""AS"">time</span> at all.","I BOUGHT THIS LAP TOP AND THE CHARGE <span class=""AS"">TIME</span> DOSEN'T LAST","Honestly, I spent more <span class=""AS"">time</span> waiting for it to unfreeze then actually doing what I got on there for!","In the short <span class=""AS"">time</span> of one month since the 2012 Mac Mini was released there are well over 1000 posts regarding this issue and the numbers keep rising.","In early May I got it back and this <span class=""AS"">time</span> I only had it back for 1 day before it had a NEW issue","so it was sent back in for the 6th <span class=""AS"">time</span> they ""expedited"" the repairs","Take your <span class=""AS"">time</span> and go through the tutorials patiently.","The next <span class=""AS"">time</span> I had an issue my lightscribe wouldn't work.","I have a business website and every <span class=""AS"">time</span> I have to change something I have to go to the public library to use a PC.","This is the first <span class=""AS"">time</span> for me to use a Mac and I'm really happy with the move.","this is my second one and the same problem, bad video card  unreliable overall, this will be my second <span class=""AS"">time</span> returning this laptop back to best buy.","What's also interesting is this survey changed my ratings the first <span class=""AS"">time</span> I submitted it in case it doesn't keep what I put here are my aratings","I should have bought one a long <span class=""AS"">time</span> ago.","I Have been a Pc user for a very long <span class=""AS"">time</span> now","There is no need to purchase virus protection for Mac, which saves me a lot of <span class=""AS"">time</span> and money."
macbook pro,,,,"Then only FOUR months later, my great <span class=""AS"">MacBook pro</span> FAILED.","I have had my new <span class=""AS"">Macbook Pro</span> i5 for a couple of days and have recycled ALL of my old PC laptops.","The <span class=""AS"">macbook pro</span> is really responsive.","This version of <span class=""AS"">MacBook Pro</span> runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","My only disappointment with the 13"" model is that they're the only ones in the <span class=""AS"">MacBook Pro</span> line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","And the warranty on this <span class=""AS"">macbook pro</span> can last up to 5 years or 1000 battery recharge cycles.","I have never had any issues or problems with my <span class=""AS"">MacBook Pro</span> so far, and it is still as fast as it was when I first bought it.","But see the <span class=""AS"">macbook pro</span> is different because it may have a huge price tag","So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 <span class=""AS"">MacBook Pro</span> Notebook Computer","I initially purchased my <span class=""AS"">Macbook Pro</span> 13"" in April, and I loved it.","It was a hard decision for me since the <span class=""AS"">MacBook Pro</span> looked so appealing.","It's graphics aren't bad at all, for the lower end of the <span class=""AS"">MacBook Pro</span> spectrum, easily capable of running StarCraft II and other games with comparable graphics.","This <span class=""AS"">Macbook Pro</span> is fast, powerful, and runs super quiet and cool.","I will never complain about the price since I believe you get what you pay for and my <span class=""AS"">MacBook Pro</span> was worth every dollar.","the 15 inch <span class=""AS"">MacBook Pro</span> has much better speakers on the side of the keyboard.","The 13"" <span class=""AS"">Macbook Pro</span> just fits in my budget and with free shipping and no tax to CA","The old unibody <span class=""AS"">macbook pro</span> could fry an egg after a while.","I own other Macs but always find myself navigation to the <span class=""AS"">MacBook Pro</span> to get my work done.","I've had the <span class=""AS"">MacBook Pro</span> 15 for about three weeks, and it really is a great computer.","I bought this <span class=""AS"">MacBook Pro</span> to replace my six-year-old PC (a Sony Vaio), but it was basically no better than my old PC, so I returned it."
programs,program,,,"PC users use the Powerpoint <span class=""AS"">program</span> for slide-show presentation and Mac users utilize Keynote.","It is loaded with <span class=""AS"">programs</span> that is of no good for the average user, that makes it run way to slow.","I was also able to install and use my Photoshop and AfterEffects <span class=""AS"">programs</span> easily.","Was not happy with one of the <span class=""AS"">programs</span> on it.","It's just as fast with one <span class=""AS"">program</span> open as it is with sixteen open.","I also purchased iWork to go with it which has <span class=""AS"">programs</span> for word processing, spreadsheets, and presentations (similar to Microsoft Office).","You can even run a parallels type <span class=""AS"">program</span> easily and run any leftover PC software that you absolutely cannot be without.","Theres also iDVD, a <span class=""AS"">program</span> dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.","Love the graphics, awesome <span class=""AS"">programs</span> (including Garageband), and really cool default background.","iPhotos is an excellent <span class=""AS"">program</span> for storing and organizing photos.","The computer loads in about a 1/10th of the time that my PC did, and I have all of the <span class=""AS"">programs</span> that were on my PC.","iPhoto is probably the best <span class=""AS"">program</span> I have ever worked with: easy and convenient.","The <span class=""AS"">programs</span> are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.","I use iphoto all the time, which is a great <span class=""AS"">program</span> for anyone who is into photography - amateurs and experts alike.","All the things you can do with the trackpad make navigating around the computer and its <span class=""AS"">programs</span> so much simpler, quicker, and easier.","I like those <span class=""AS"">programs</span> better than Office and you can save your files to be completely compatible with the Office programs as well.","In fact I still use manyLegacy <span class=""AS"">programs</span> (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!","This wiped out several <span class=""AS"">programs</span> that were installed on the computer when it was bought.","Not only are the versions of these <span class=""AS"">programs</span> able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.","They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection <span class=""AS"">programs</span> for a Mac, they don't exist."
