Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
toshiba,,,,"The reaction of <span class=""AS"">Toshiba</span> is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.","I called <span class=""AS"">Toshiba</span> where I gave them the serial number and they informed me that they were having issues with the mother boards.","Purchased a <span class=""AS"">Toshiba</span> Lap top it worked good until just after the warrenty went out.","I have had at least eight <span class=""AS"">Toshiba</span> laptops, and they have been outstanding, including this one.","I love to write and play with graphics and html programming and my new <span class=""AS"">Toshiba</span> works great on both!","The <span class=""AS"">Toshiba</span> Net book operates very well.","NOW AM VERY APREHENSIVE ABOUT <span class=""AS"">TOSHIBA</span> LAPTOPS.","Now the machine won't connect and <span class=""AS"">Toshiba</span> says that they did replace the connection card in May but they only warranty the repair for 30 days","I did a lot of research and ended up thinking this <span class=""AS"">Toshiba</span> was the best one for me.","So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name <span class=""AS"">TOSHIBA</span> on it...","I investigated netbooks and saw the <span class=""AS"">Toshiba</span> NB305-N410BL.","As I soon discovered, though, there is a reason for which similarly-configured Sony and <span class=""AS"">Toshiba</span> machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","I just hope the reputation that <span class=""AS"">Toshiba</span> has is true and I won't have to worry about a crash.","When it come time for warranty service to <span class=""AS"">Toshiba</span> you don't matter.","As an owner of a <span class=""AS"">Toshiba</span> Satalite laptop computer things you should know before you buy.","I have had two <span class=""AS"">Toshiba</span> satellite computers and while they are okay, they are in no way comparable to the Mac.","Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a <span class=""AS"">Toshiba</span> R700 that seems even nicer","I purchased this netbook after my original <span class=""AS"">Toshiba</span> laptop crashed right after the warranty expired.","I sent it back to <span class=""AS"">Toshiba</span> twice they covered it under the  warranty.","I was so excited to receive the <span class=""AS"">Toshiba</span> L455 as a gift/bonus for some work I had done for a friend of mine!"
mouse,,,,"the <span class=""AS"">mouse</span> buttons are hard to push.","it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right <span class=""AS"">mouse</span> click menu.","The only thing I would change about it is the <span class=""AS"">mouse</span> keys.","the <span class=""AS"">mouse</span> on the pad, the left button always sticks.","the <span class=""AS"">mouse</span> is way way way to sensitve.","I've owned this labtop for less then two months, already the <span class=""AS"">mouse</span> button has broke.","This <span class=""AS"">mouse</span> is terrific.","The <span class=""AS"">mouse</span> is a little bit different than what you're used to though-","the <span class=""AS"">mouse</span> jumps around all the time and it clicks stuff","However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy <span class=""AS"">mouse</span> pad.","Needs Power and <span class=""AS"">Mouse</span> Cable to Plug in back instead of side,","In the way of operating a <span class=""AS"">mouse</span> in small area.","On my PowerBook G4 I would never use the trackpad I would use an external <span class=""AS"">mouse</span> because I didn't like the trackpad.","Another thing is that after only a month the left <span class=""AS"">mouse</span> key broke and it costed $175 to send it in to fix it.","I had to buy a wireless <span class=""AS"">mouse</span> to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.","I wish the volume could be louder and the <span class=""AS"">mouse</span> didnt break after only a month.","we were like we will just by a portable <span class=""AS"">mouse</span> which would be way cheaper","the <span class=""AS"">mouse</span> pad and buttons are the worst i've ever seen.","Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the <span class=""AS"">mouse</span> pad and where the heals of my hands sit, and the screen has a terrible glare.","The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a <span class=""AS"">mouse</span> with it."
apple,,,,"Our <span class=""AS"">Apple</span> 13.3 MacBook","I am paying <span class=""AS"">apple</span> to kill my self and my wallet.","I had to call <span class=""AS"">Apple</span> 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.","That was my first <span class=""AS"">Apple</span> product and since then I have been incredibly happy with every product of theirs I have bought.","The difference is it's a whole lot of fun using the laptop now, still learning the <span class=""AS"">Apple</span> navigation, but is fun and comes with a lot of cool apps.","After years of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the <span class=""AS"">Apple</span> route.","This is especially disheartening when <span class=""AS"">Apple</span> prides itself as the choice of creative professionals.","This is my 3rd <span class=""AS"">Apple</span> Laptop and first MacBook Pro.","Besides, the <span class=""AS"">apple</span> stocks have been falling due to lack of sales.","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless <span class=""AS"">Apple</span> Keyboard and Mouse, all put together in neat and nice package.","I've owned every ""Pro"" model <span class=""AS"">Apple</span> laptop for the last 8 years, this is BY FAR the WORST one I've ever had.","Sadly <span class=""AS"">Apple</span> has discontinued this MacBook, I think it was never super popular since it fell somewhere in between the cheapest white model and the smaller Pros.","I visited the <span class=""AS"">Apple</span> Store and was impressed with the 17-inch MacBook Pro.","fast, great screen, beautiful apps for a laptop;priced at 1100 on the <span class=""AS"">apple</span> website;amazon had it for 1098+ tax","The Dell Inspiron is fast and has a number pad on the keyboard, which I miss on my <span class=""AS"">Apple</span> laptops.","Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer - I am not an <span class=""AS"">Apple</span> fanboy.","Seems a much more economical way to get into <span class=""AS"">Apple</span> than their other computers.","Ive owned <span class=""AS"">Apple</span> computers and laptops for as long as i could remember.","My wife recently purchased an <span class=""AS"">Apple</span> MacBook Pro and our granddaughter fell in love with it and asked for one for her birthday.","I've had to call <span class=""AS"">Apple</span> support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me."
mac,,,,"This <span class=""AS"">Mac</span> Mini makes the Macbook Pro seem slow.","The <span class=""AS"">Mac</span> Mini is probably the simplest example of compact computing out there.","While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from <span class=""AS"">Mac</span> laptops.","Buying a <span class=""AS"">Mac</span> Mini would allow me to make the transition.","I bought this <span class=""AS"">Mac</span> in order to replace my old Dell laptop.","Customization on <span class=""AS"">mac</span> is impossible.","I would say that 85% of the design industry is <span class=""AS"">Mac</span> for good reason.","The <span class=""AS"">Mac</span> Book Pro performs flawlessly.","It's great to have a solid <span class=""AS"">Mac</span> in the living room.","everything about a <span class=""AS"">mac</span> is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.","I then upgraded to <span class=""AS"">Mac</span> OS X 10.8 ""Mountain Lion"".","Moving from a PC to <span class=""AS"">Mac</span> has never been easier, and I'm glad that I did it.","I had never owned a <span class=""AS"">Mac</span> before;","I thought the white <span class=""AS"">Mac</span> computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.","With a <span class=""AS"">MAC</span> computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.","Luckily, for all of us contemplating the decision, the <span class=""AS"">Mac</span> Mini is priced just right.","It's fast, quiet, incredibly small and affordable compared to other <span class=""AS"">Mac</span> models.","The <span class=""AS"">Mac</span> mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc","I have had a <span class=""AS"">Mac</span> for 6 years and won't go back to PC.","Yet my <span class=""AS"">mac</span> continues to function properly."
computing,,,,"The Mac Mini is probably the simplest example of compact <span class=""AS"">computing</span> out there.","I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for <span class=""AS"">computing</span> room.","It's a great prodcut to handle basic <span class=""AS"">computing</span> needs.","Good for every day <span class=""AS"">computing</span> and web browsing.",", it's very lightweight, and the response for the <span class=""AS"">computing</span> she's doing (Internet focused activity: mail, research, etc.) is excellent;"
memory,,,,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of <span class=""AS"">memory</span> to spice it all up a bit more.","The <span class=""AS"">memory</span> was gone and it was not able to be used.","They should have included more <span class=""AS"">memory</span> on their computers if they knew Vista would run slowly.","Buy the separate RAM <span class=""AS"">memory</span> and you will have a rocket!","It has just enough RAM to run smoothly and enough <span class=""AS"">memory</span> to satisfy my needs.","It could be a perfect laptop if it would have faster system <span class=""AS"">memory</span> and its radeon 5850 would have DDR5 instead of DDR3.","Have had many higher priced computers crash and burn long before ever got to use all that great <span class=""AS"">memory</span> and speed, etc.","I paid for extra <span class=""AS"">memory</span> and the 17-inch screen, as well as the top of the line DVD and CD burners.","The difference is the Toshiba had a lot more <span class=""AS"">memory</span> and hard drive space.","I work in film editing and post production, so I need a laptop that not only has power, but <span class=""AS"">memory</span> and speed as well.","it has 3 usb ports, 1 sd <span class=""AS"">memory</span> card reader and an sd memory car expansion."
money,,,,"Summary: Spend your <span class=""AS"">money</span> elsewhere","The computer is so slow, even after paying staples the extra <span class=""AS"">money</span> to speed it up.","Overall though, for the <span class=""AS"">money</span> spent it's a great deal.","If you have the <span class=""AS"">money</span> I suggest going for the i7.","With no problems,  I'm happy with this purchase because I saved <span class=""AS"">money</span> compared to buying it anywhere else.","Also, one of the users mentioned how the edges on the macbook is sharp, if you have <span class=""AS"">money</span> to spend on one of the incase shells, it doesn't seem to be a problem.","We'll save our <span class=""AS"">money</span> to replace it with a Mac again!","In all honesty, if someone is looking for a quality laptop and willing to pay a little more <span class=""AS"">money</span> for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.","Best <span class=""AS"">money</span> I ever spent.","This system is not worth the <span class=""AS"">money</span> or trouble trying to get it fix.","I don't have that additional <span class=""AS"">money</span> right now, and therefore wouldn't have purchased it at this time.","It was an all around waste of <span class=""AS"">money</span> for me.","I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more <span class=""AS"">money</span> to get great quality!","Save your <span class=""AS"">money</span> and go for a better device.","Yes, a Mac is much more <span class=""AS"">money</span> than the average laptop out there, but there is no comparison in style, speed and just cool factor.","I'm so disgusted that I wasted my <span class=""AS"">money</span> on this product.","I'll rather be out of date then spend more <span class=""AS"">money</span> on toshiba.","IT save up a bit more <span class=""AS"">money</span> and buy a computer that will last.","It is well worth the <span class=""AS"">money</span> it cost, Very good investment.","Overall for the <span class=""AS"">money</span> this is a good deal."
service,,,,"So, I paid a visit to LG notebook <span class=""AS"">service</span> center at Alexandra Road, hoping they can make the hinge tighter.","The <span class=""AS"">service</span> tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","Do you think it's fun to take public transport all the way to the <span class=""AS"">service</span> center and get a non-satisfactory solution?","As usual at customer <span class=""AS"">service</span> center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","Its ease of use and the top <span class=""AS"">service</span> from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.","They need to stop outsoucing and send some complaint calls to US based customer <span class=""AS"">service</span> agents for those who live in the United states.","After way too many times sending the thing in for repairs (delivery <span class=""AS"">service</span> was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","COMPUTER HAS BEEN AT <span class=""AS"">SERVICE</span> FACILITY","I heard their customer <span class=""AS"">service</span> was lacking and that they were working on improving it!","it definitely beats my old mac and the <span class=""AS"">service</span> was great.","When it come time for warranty <span class=""AS"">service</span> to Toshiba you don't matter.","The tech guy then said the <span class=""AS"">service</span> center does not do 1-to-1 exchange","In desparation, I called their Customer <span class=""AS"">Service</span> number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","The shop will definitely push the problem to the <span class=""AS"">service</span> center.","It arrived so fast and customer <span class=""AS"">service</span> was great.","If this is an improvement in Customer <span class=""AS"">Service</span> then I would hate too see what it was before!","The technical <span class=""AS"">service</span> for dell is so 3rd world it might as well not even bother.","thanks for great <span class=""AS"">service</span> and shipping!","They also have a longer <span class=""AS"">service</span> life than other computers (I have several friends who still use the older Apple PowerBooks).","then on top of it all their cusromer <span class=""AS"">service</span> center is in the middle east."
something,,,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's <span class=""AS"">something</span> to be said about the simplicity of Macs.","But then, <span class=""AS"">something</span> goes wrong.","so if your planning to listen to music I suggest you get <span class=""AS"">something</span> better.","Every day I had this computer, <span class=""AS"">something</span> failed on it.","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting <span class=""AS"">something</span> smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.","I think I might rather suffer for <span class=""AS"">something</span> that is simple to fix in my opinion.","My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need <span class=""AS"">something</span> to help him in school.","Apparently there is a manufacturing defect, <span class=""AS"">something</span> with the amount of thermal paste.","Those moments in thime where you want to throw <span class=""AS"">something</span> against the wall?","But Sony said we could send it back and be charged for adding the bluetooth an additional seventy <span class=""AS"">something</span> dollars.","If you are a person like me, more on the creative side, the mac has <span class=""AS"">something</span> for you too.","I needed <span class=""AS"">something</span> affordable from Apple and was tired of dealing with PC laptop after PC laptop.","Clearly, there is <span class=""AS"">something</span> wrong with the product and LG didn't take up the responsibility.","Unless you don't care how long it takes to get going, find <span class=""AS"">something</span> else.","I switched to this because I wanted <span class=""AS"">something</span> different, even though I miss windows.","I have a business website and every time I have to change <span class=""AS"">something</span> I have to go to the public library to use a PC.","Theres always <span class=""AS"">something</span> wrong with it, wether it be some virus","10 hours of battery life is really <span class=""AS"">something</span> else....","If you are looking for <span class=""AS"">something</span> reliable, this is the laptop for you.","it might be <span class=""AS"">something</span> deep within Windows, for I was unable to create a disk image on my hard drive."
people,,,,"While most <span class=""AS"">people</span> say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Looking online, many <span class=""AS"">people</span> are having the same problem.","They transfer you around to other <span class=""AS"">people</span> who do not understand what you are saying","Breaking within 1 year of purchase and speaking to 4+ <span class=""AS"">people</span> to report the damaged part will be returned late!","Before I begin, I will say that I am not like a good percentage of the <span class=""AS"">people</span> that will end up writing a review on this computer - I am not an Apple fanboy.","Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most <span class=""AS"">people</span> would have went with XP if they could.","While many <span class=""AS"">people</span> brag about Mac being ""intuitive"", it does take a little time to adjust to coming from a PC, but once I got the hang of it, I don't want to go back.","The <span class=""AS"">people</span> there just changed for me on the spot","Macs are designed for the ""frontal lobe challenged"" <span class=""AS"">people</span> out there.","I spoke to 4 different <span class=""AS"">people</span> and was told they needed to transfer me to a 5th person!","A tip for <span class=""AS"">people</span> looking into this computer:","In addition, there is photo detection software that will allow you to group all the photos together based upon the <span class=""AS"">people</span> in the picture.","Screen - although some <span class=""AS"">people</span> might complain about low res which I think is ridiculous.","Its seen in movies, sitcoms, prominent important <span class=""AS"">people</span> carry and use them and they are GREAT!","So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of <span class=""AS"">people</span> you cant understand.","only one way this computer might become the best is that it needs to upgreade patches  to make less easier for <span class=""AS"">people</span> to hack into","I know some <span class=""AS"">people</span> complained about HDMI issues but they released a firmware patch to address that issue.","He said quite a number of <span class=""AS"">people</span> had encountered this problem and said it is a common issue.","I feel that enough <span class=""AS"">people</span> have Macs these days and that companies need to start making things more compatable than they used to be.","Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for <span class=""AS"">people</span> that truly are trying to support his baby."
value,,,,"While most people say that PCs hold functionality and <span class=""AS"">value</span> and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","Waiting for the i7 was well worth it, great <span class=""AS"">value</span> for the price.","The ATI graphics card is a huge plus, definitely a good <span class=""AS"">value</span> if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","It's because when you buy it, you know first thing that you will not lose any <span class=""AS"">value</span> for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","I claim that this has no <span class=""AS"">value</span> to me, the laptop was new anyway.","It's super fast and a great <span class=""AS"">value</span> for the price!"
windows,,,,"Microsoft seems to be unable to keep up with repairs for the multitude of <span class=""AS"">windows</span> problems.","There are no viruses or spyware to worry about like on a <span class=""AS"">Windows</span> computer.","Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on <span class=""AS"">Windows</span> machines.","I hope to edit this in the next few hours, I am going to try to install my own copy of <span class=""AS"">Windows</span> 7.","I also enjoy the fact that my MacBook Pro laptop allows me to run <span class=""AS"">Windows</span> 7 on it by using the VMWare program.","I love this program, it is superior to <span class=""AS"">windows</span> movie maker.","Upgrading from <span class=""AS"">Windows</span> 7 Starter, thru Windows 7 Home Premium, to Windows 7","Which is great I am running Vista Business and scored a 5.X on the index I have never seen a <span class=""AS"">windows</span> machine have a total score in the 5's.","With a MAC computer I have more free time as I don't have to wait for <span class=""AS"">windows</span> to boot up or shut down and all the viruses associated with windows.","but I am really liking <span class=""AS"">Windows</span> 8.","I love a ""pc"" but I was ready for a change and tired of the <span class=""AS"">windows</span> system.","I reinstalled <span class=""AS"">windows</span> through the recovery discs and everything seemed good again.","I loaded <span class=""AS"">windows</span> 7 via Bootcamp and it works flawlessly!","As a die-hard <span class=""AS"">Windows</span> enthusiast, I shunned the idea of a Mac until this point.","Biggest complaint is <span class=""AS"">Windows</span> 8 .","If you could stretch by a few 100 dollars I highly recommend you should replace your <span class=""AS"">Windows</span> laptop with this one.","I reloaded with <span class=""AS"">Windows</span> 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.","although its <span class=""AS"">windows</span> vista compared to windows xp sucks.","I run <span class=""AS"">windows</span> via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.","First things first, Macbook pro has many applications to make life easier, unlike the <span class=""AS"">windows</span> computers."
speed,,,,"The computer is so slow, even after paying staples the extra money to <span class=""AS"">speed</span> it up.","The <span class=""AS"">speed</span> difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.","It has so much more <span class=""AS"">speed</span> and the screen is very sharp.","Excellent <span class=""AS"">speed</span> for processing data.","It has good <span class=""AS"">speed</span> and plenty of hard drive space.","Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, <span class=""AS"">speed</span> and just cool factor.","the <span class=""AS"">speed</span> is fine.","It's software and <span class=""AS"">speed</span> enable it to do amazing things.","The <span class=""AS"">speed</span> gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.","Even though I could have gotten a pc twice the <span class=""AS"">speed</span> for the same price I still think there's nothing like a Mac.","From the <span class=""AS"">speed</span> to the multi touch gestures this operating system beats Windows easily.","Strong performance in this device makes use of fun and a strong sense of the era of <span class=""AS"">speed</span> This device serves all modern requirements is a very strong game and is very useful for designers.","It has easy to use features and all the <span class=""AS"">speed</span> and power I could ask for.","The internet <span class=""AS"">speed</span> is spectacular.","I would recommend it just because of the internet <span class=""AS"">speed</span> probably because thats the only thing i really care about.","The <span class=""AS"">speed</span> is incredible and I am more than satisfied.","It is the perfect size and <span class=""AS"">speed</span> for me.","I work in film editing and post production, so I need a laptop that not only has power, but memory and <span class=""AS"">speed</span> as well."
products,product,,,"Received the <span class=""AS"">product</span> promptly and without any issues.","That was my first Apple <span class=""AS"">product</span> and since then I have been incredibly happy with every product of theirs I have bought.","It's a great <span class=""AS"">product</span> for a great price!","The <span class=""AS"">product</span> is prefect for everyone.","The price was very good, and the <span class=""AS"">product</span> is top quality.","They were great in handling this problem, and I'm looking forward in purchasing additonal <span class=""AS"">products</span> from them in the future.","This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better <span class=""AS"">product</span> quality for this price range.","(you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their <span class=""AS"">product</span> line as a gift for events like this).","I am not happy at all with the <span class=""AS"">product</span> I purchased.","Clearly, there is something wrong with the <span class=""AS"">product</span> and LG didn't take up the responsibility.","Great <span class=""AS"">product</span> by Apple with the new great looking design.","The MacBook Pro is a great <span class=""AS"">product</span> which can meet the needs of the average consumer.","THE <span class=""AS"">PRODUCT</span> KEY.","I haven't used the <span class=""AS"">product</span> long enough to write a detailed technical review.","This MacBook is an outstanding <span class=""AS"">product</span> with great value.","I bought my first MacBook after seeing the <span class=""AS"">product</span> demonstrated.","I would not recommend this <span class=""AS"">product</span> to anyone.","I was not aware that this <span class=""AS"">product</span> cannot display websites that contain Flash.","Apple is unmatched in <span class=""AS"">product</span> quality,aesthetics,craftmanship, and customer service.","The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the <span class=""AS"">products</span> we purchased."
design,,,,"Wonderful sleek case <span class=""AS"">design</span> is only on the outside.","I would say that 85% of the <span class=""AS"">design</span> industry is Mac for good reason.","Apple is aware of this issue and this is either old stock or a defective <span class=""AS"">design</span> involving the intel 4000 graphics chipset.","I grew up in a <span class=""AS"">design</span> family so it only made sense.","The unibody <span class=""AS"">design</span> is edgy and durable.","the hinge <span class=""AS"">design</span> forced you to place various connections all around the computer, left right and front.","The quality, engineering <span class=""AS"">design</span> and warranty are superior--covers damage from dropping the laptop.","The large screen also helps when you are working in <span class=""AS"">design</span> based programs like Adobe Creative Suite.","Overall, this laptop is definitely a keeper with its simple yet stylish <span class=""AS"">design</span> and its array of fantastic colors to choose from.","but it  has a major <span class=""AS"">design</span> flaw.","The reason why I choose apple MacBook because of their <span class=""AS"">design</span> and the aluminum casing.","After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek <span class=""AS"">design</span> and promise of less tech issues.","It shouldn't happen like that, I don't have any <span class=""AS"">design</span> app open or anything.","I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the <span class=""AS"">design</span> of the macbook as it is one very large heat sink.","I like the <span class=""AS"">design</span> and ease of use with the keyboard, plenty of ports."
applications,application,,,"While I mostly use it for email, internet and gaming, I'm confident all other <span class=""AS"">applications</span> live up to the high standard I've come to appreciate from Mac laptops.","would appear when running Office Mac <span class=""AS"">applications</span> such as Word or Excel.","However, the experience was great since the OS does not become unstable and the <span class=""AS"">application</span> will simply shutdown and reopen.","First things first, Macbook pro has many <span class=""AS"">applications</span> to make life easier, unlike the windows computers.","I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other <span class=""AS"">applications</span> constantly at the same time.","The system constantly overheats, the battery life is too short, the case is coming apart, and my core <span class=""AS"">applications</span> that I use every day in my work as a graphic artist run poorly.","Garageband is easy to work with, like all the other apple <span class=""AS"">applications</span> I've had experience with.",", <span class=""AS"">Applications</span> respond immediately (not like the tired MS applications).","I have not had a problem with the <span class=""AS"">applications</span> quitting or freezing.","The Apple <span class=""AS"">applications</span> (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","WIth the upgraded memory, the MacBook Pro never has an issue running many many <span class=""AS"">applications</span> at once!","Compared to the early 2011 edition I did see inbuilt <span class=""AS"">applications</span> crashing and it prompted me to send the report to Apple (which I promptly did).","It's <span class=""AS"">applications</span> are terrific, including the replacements for Microsoft office.","Seems to slow down occassionally but can run many <span class=""AS"">applications</span> (ie Internet tabs, programs, etc) simultaneously.","BUT there's this <span class=""AS"">application</span> called Boot Camp which allows you to add another OS X like Windows.","The performance seems quite good, and built-in <span class=""AS"">applications</span> like iPhoto work great with my phone and camera."
drive,,,,"I am not going to sit here and complain about it not having a cd <span class=""AS"">drive</span> and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.","The speed difference is next to NOTHING for a mac, and the hard <span class=""AS"">drive</span> can be manually upgraded or you could just buy a $60 500gb external hard drive.","Then the hard <span class=""AS"">drive</span> failed;","He has replaced his hard <span class=""AS"">drive</span> twice","It has good speed and plenty of hard <span class=""AS"">drive</span> space.","I did add a SSD <span class=""AS"">drive</span> and memory","So, after Apple replaced the hard <span class=""AS"">drive</span> I enjoyed another 4 months of my new computer, until it froze this morning--completely.","Could not keep up with me and finally the hard <span class=""AS"">drive</span> went out.","I connect a LaCie 2Big external <span class=""AS"">drive</span> via the firewire 800 interface, which is useful for Time Machine.","The dv4 boasted a faster processor, more memory, and a bigger hard <span class=""AS"">drive</span> than my old computer, plus a better quality web cam, nicer screen, and many other features.","I did swap out the hard <span class=""AS"">drive</span> for a Samsung 830 SSD which I highly recommend.","Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard <span class=""AS"">drive</span> crashed.","I can't believe how quiet the hard <span class=""AS"">drive</span> is and how quick this thing boots up.","After the warrenty expired the hard <span class=""AS"">drive</span> went bad and it would have cost more to fix then to replace.","I was concerned that the downgrade to the regular hard <span class=""AS"">drive</span> would make it unacceptably slow","Now I had not tried to use this since the disc <span class=""AS"">drive</span> had been replaced and after taking it back to the Geek Squad","I found out they had accidently not used the right <span class=""AS"">drive</span> when they replaced the first one, so back it went to get the correct drive.","This newer netbook has no hard <span class=""AS"">drive</span> or network lights.","It's ok but doesn't have a disk <span class=""AS"">drive</span> which I didn't know until after I bought it.","While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can <span class=""AS"">drive</span> you crazy trying to deal with the PC world."
software,,,,"It seemed to be a very nice laptop except I was not able to load my Garmin GPS <span class=""AS"">software</span> or Microsoft Office 2003.","The screen, the <span class=""AS"">software</span> and the smoothness of the operating system.","The only thing I didn't learn in my research was the <span class=""AS"">software</span> I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.","The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the <span class=""AS"">software</span> would hang after installation was 1/2 way done.","Additional caveat: the base installation comes with some Toshiba-specific <span class=""AS"">software</span> that may or may not be to a user's liking.","It is easy to operate and I have already ordered more <span class=""AS"">software</span> and gadgets for my new Rolls Royce of laptops.","and (of course) has had to pay for antivirus <span class=""AS"">software</span> every year.","The computer runs very fast with no problems and the iLife <span class=""AS"">software</span> that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.","I love the way the entire suite of <span class=""AS"">software</span> works together.","Many kinds of <span class=""AS"">software</span> that is necessary to the working person is not available and cannot be downloaded.","Aside from the trial <span class=""AS"">software</span> and the short battery life, lack of a webcam, its great.","The only downfall is a lot of the <span class=""AS"">software</span> I have won't work with Mac and iWork is not worth the price of it.","It didn't come with any <span class=""AS"">software</span> installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.","The <span class=""AS"">software</span> is amazing.","The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with <span class=""AS"">software</span> problems and just not happy with it.","and I was able to load all of my <span class=""AS"">software</span> with no problem.","It does not even have the <span class=""AS"">software</span> to play a dvd now.","I've had it for about 2 months now and found no issues with <span class=""AS"">software</span> or updates.","In addition, there is photo detection <span class=""AS"">software</span> that will allow you to group all the photos together based upon the people in the picture.","It's <span class=""AS"">software</span> and speed enable it to do amazing things."
