Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
decor,,,,"Chance is a small cozy restaurant, with a romantic feel to it, the <span class=""AS"">decor</span> is great.","The food was as creative as the <span class=""AS"">decor</span> and both worked.","Service is extraordinary, yet not overbearing, and the <span class=""AS"">decor</span> brings a taste of trendy SoHo into Queens.","Everything is always cooked to perfection, the service is excellent, the <span class=""AS"">decor</span> cool and understated.","The <span class=""AS"">decor</span> is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","The <span class=""AS"">decor</span> is very simple but comfortable.","While Sapphire is certainly not lacking in ambiance, and probably has the best <span class=""AS"">decor</span> of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.","The place's <span class=""AS"">decor</span> and hidden bathrooms made for a good laugh.","The bartenders and the managers are really nice and the <span class=""AS"">decor</span> is very comfy and laid-back, all the while being trendy.","There is actually space to breathe and the <span class=""AS"">decor</span> sets the tone for an intimate dinner.","The <span class=""AS"">decor</span> is what initially got me in the door.","The blond wood <span class=""AS"">decor</span> is very soothing, the premium sake is excellent and the service is great.","The <span class=""AS"">decor</span> however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS","The service is excellent, the <span class=""AS"">decor</span> is great, and the food is delicious and comes in large portions.","The service is excellent, the <span class=""AS"">decor</span> is great, and the food is delicious and comes in large portions.","Baluchi's has solid food and a nice <span class=""AS"">decor</span> at reasonable prices.","Fabulous <span class=""AS"">decor</span> - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","The <span class=""AS"">decor</span> is really blah, and not at all hip or happening.","The food is surprisingly good, and the <span class=""AS"">decor</span> is nice.","The <span class=""AS"">decor</span> is very simple but comfortable."
ny,,,,"We visited Orsay during <span class=""AS"">NY</span> Restaurant Week and tried their $35 menu.","I've lived in <span class=""AS"">NY</span> for 5 years and this place has it all.","I've lived in <span class=""AS"">NY</span> for 5 years and this place has it all.","Everything a <span class=""AS"">NY</span> pizza joint should be.","My friends and I were on vacation in <span class=""AS"">NY</span> and was referred to Chance by a friend.","how have i missed this one ,tried Long Tan last week for the first time and now know what the <span class=""AS"">NY</span> TIMES and many more in the neighborhood already knew.","Wish <span class=""AS"">NY</span> had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.","By far this is the only chinese desserts place I know in <span class=""AS"">NY</span> or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.","I don't live in <span class=""AS"">NY</span> but my best friend does.","I have lived in <span class=""AS"">NY</span> for many years and have dined at many restaraunts.","In the evening, this place attracted a well dressed, with it, <span class=""AS"">NY</span> crowd.","The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the <span class=""AS"">NY</span> Yankees of the late 90's,","One of the best, if not THE best, restaurants in Park Slope (and <span class=""AS"">NY</span> in general)","We visited Orsay during <span class=""AS"">NY</span> Restaurant Week and tried their $35 menu.","I have taken practically every guest that has come to visit me in <span class=""AS"">NY</span> and hooked a few New Yorkers onto Peep as well.","My friends and I were on vacation in <span class=""AS"">NY</span> and was referred to Chance by a friend.","not only does make the best pizza in <span class=""AS"">NY</span> , maybe anywhere.","There are much better places in <span class=""AS"">NY</span> with better prices.","I grew up eating Dosa and have yet to find a place in <span class=""AS"">NY</span> to satisfy my taste buds.","In the evening, this place attracted a well dressed, with it, <span class=""AS"">NY</span> crowd."
order,,,,"It's a great place to <span class=""AS"">order</span> from or sit-in.","The space is nice but when we <span class=""AS"">order</span> our drink we were in for a surprise.","When the main course finally arrived (another 45mins) half of our <span class=""AS"">order</span> was missing.","As many other reviewers noticed, your <span class=""AS"">order</span> is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","You can also special <span class=""AS"">order</span> any kind of dumpling,etc.","When we were finally seated our waitress came by twice-1 for our <span class=""AS"">order</span> and 2-for our check.","The manager then told us we could <span class=""AS"">order</span> from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.","I've eaten at Pizza Gruppo a few times, but more often I <span class=""AS"">order</span> delivery.","We <span class=""AS"">order</span> a bit of everything on the menu.","The only concern i have is with the slighly all-business waitstaff who <span class=""AS"">order</span> and throw the food down, rushing you out.","If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and <span class=""AS"">order</span> yourself a hong-kong styled milk and tea with tapioca pearls (hot).","First the wrong bread came out with the appetizer, then when i tried to <span class=""AS"">order</span> a second glass of wine for my main course...","One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our <span class=""AS"">order</span> for 15 minutes and gave us lip when we asked him to do so.","So eat fast and <span class=""AS"">order</span> a lot.","So eat fast and <span class=""AS"">order</span> a lot.","You <span class=""AS"">order</span> from a menu, so you leave feeling like you missed the full experience.","The portions are HUGE, so it might be good to <span class=""AS"">order</span> three things to split (rather than one appetizer and entree per person) for two people.","My wife and I will usually only <span class=""AS"">order</span> one primi and one secondi and split them, as they tend to offer large portions.","The cold sesame noodles, which are a freebie when you <span class=""AS"">order</span> $10+, are delectable.","We called the other person who was very close by, and she told us to <span class=""AS"">order</span> for her, so we did."
taste,,,,"It doesn't look appetizing as it's covered in squid ink and it turns your lips and teeth black, but the <span class=""AS"">taste</span> was phenomenal.","Service is extraordinary, yet not overbearing, and the decor brings a <span class=""AS"">taste</span> of trendy SoHo into Queens.","The dim sum is ok but doesn't <span class=""AS"">taste</span> that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).","The cold appetizer dishes <span class=""AS"">taste</span> like the way I remember them to taste when I was growing up in Taiwan.","The ingredients <span class=""AS"">taste</span> fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","The Bagels have an outstanding <span class=""AS"">taste</span> with a terrific texture, both chewy yet not gummy.","My husband and I enjoyed each of the 6 <span class=""AS"">taste</span> size portions and left completely full.","Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) <span class=""AS"">taste</span> excellent when on warm pitas.","The strong scents coming from the left and right of me negatively affected my <span class=""AS"">taste</span> buds.","Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to <span class=""AS"">taste</span> so manydifferent varietys.","After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to <span class=""AS"">taste</span> like.","however, it's the service that leaves a bad <span class=""AS"">taste</span> in my mouth.","Staffs are not that friendly, but the <span class=""AS"">taste</span> covers all.","I never used to be a fan of sakes but am lately experimenting with it a lot more and am acquiring a better <span class=""AS"">taste</span> of it.","the only things u could really <span class=""AS"">taste</span> are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.","When we inquired about ports - the waitress listed off several but did not know <span class=""AS"">taste</span> variations or cost.","The noodle and rices dishes <span class=""AS"">taste</span> great.","I have lived in Japan for 7 years and the <span class=""AS"">taste</span> of the food and the feel of the restaurant is like being back in Japan.","Try the mediterranean salad, it is a true experience for your <span class=""AS"">taste</span> buds!!","The in-house lady DJ on Saturday nights has outrageously good <span class=""AS"">taste</span> in music, and moreover, takes requests."
look,,,,"It doesn't <span class=""AS"">look</span> appetizing as it's covered in squid ink and it turns your lips and teeth black, but the taste was phenomenal.","For authentic Thai food, <span class=""AS"">look</span> no further than Toons.","The dim sum is ok but doesn't taste that fresh, and the little dishes don't <span class=""AS"">look</span> steamy hot as they should (also note lack of Chinese here).","Though the Spider Roll may <span class=""AS"">look</span> like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't <span class=""AS"">look</span> like leafy road kill.","It's a basic pizza joint, not much to <span class=""AS"">look</span> at, but the pizza is what I go for.","If you are in search of the most authentic NYC deli experience <span class=""AS"">look</span> no further than the famous and historic Katz's Deli down on the Lower East Side.","The Pad thai, lad nar and various other dishes all <span class=""AS"">look</span> good on paper but, I've had better thai food in less asthetically pleasing places.","The waiters ALWAYS <span class=""AS"">look</span> angry and even ignore their high-tipping regulars.","Don't <span class=""AS"">look</span> down your nose at me like that...","The Black Sheep distinguishes itself from the Midtown pub herd with a <span class=""AS"">look</span> that's a mix of sports-bar butch and ornate kitsch.","Tell them Herky sent you and get a free confused <span class=""AS"">look</span> from the waiter.","The website and rating makes this place <span class=""AS"">look</span> wonderful but in reality it was very disappointing.","The staff is very sharp and they <span class=""AS"">look</span> good too.","I plan to come here again and <span class=""AS"">look</span> forward to trying their assortment of bruschetta, panini's.....","We didn't <span class=""AS"">look</span> like the other patrons in there so unfortunately I think that may have been part of the problem.","I took one <span class=""AS"">look</span> at the chicken","Definitely a once a year treat that I <span class=""AS"">look</span> forward to around the holidays!","The boths are not as small as some of the reviews make them out to <span class=""AS"">look</span> they're perfect for 2 people.","the restaurant was completely empty, but she gave me a dirty <span class=""AS"">look</span> and asked, no reservations?"
drinks,drink,,,"The space is nice but when we order our <span class=""AS"">drink</span> we were in for a surprise.","The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate <span class=""AS"">drink</span> suggestions.","The server was really cool and served us our food and <span class=""AS"">drinks</span> with a smile.","It takes forever to get a <span class=""AS"">drink</span> and they almost always forget to bring something (although they dont forget to charge you for it.","I would recommend putting your name down and then getting a <span class=""AS"">drink</span> at a local bar first though because of the wait time.","great place to go for a <span class=""AS"">drink</span> too because they have 100 kinds of beer.","the <span class=""AS"">drinks</span> are amazing and half off till 8pm.","A cool place to hang with your friends for a couple of healthy <span class=""AS"">drinks</span> and desserts.","It took half an hour to get our check, which was perfect since we could sit, have <span class=""AS"">drinks</span> and talk!","If you're looking for a place to sit down, have a <span class=""AS"">drink</span> and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).","rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice <span class=""AS"">drink</span> for $2","One would think we'd get an apology or complimentary <span class=""AS"">drinks</span> - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","His <span class=""AS"">drinks</span> are very inventive, delicious and classy.","The food is good, especially their more basic dishes, and the <span class=""AS"">drinks</span> are delicious.","While it was large and a bit noisy, the <span class=""AS"">drinks</span> were fantastic, and the food was superb.","While the place is not a hotspot hangout, the <span class=""AS"">drinks</span> are unique and pack a lot of bang for the buck.","Love their <span class=""AS"">drink</span> menu.","The food is great (big selection, reasonable prices) and the <span class=""AS"">drinks</span> are really good.","Any if you have a reservation you'll wait for max 5 minutes - so have a <span class=""AS"">drink</span> at the bar.","Always good <span class=""AS"">drinks</span> and service is pretty good;"
foods,food,,,"The <span class=""AS"">food</span> however, is what one might expect.","The <span class=""AS"">food</span> was as creative as the decor and both worked.","The server was really cool and served us our <span class=""AS"">food</span> and drinks with a smile.","Great <span class=""AS"">food</span> and the prices are very reasonable.","Incredible <span class=""AS"">food</span> at a very agreable price brings me back just about every other day to this authentic Thai restaurant.","Thalia is a beautiful restaurant with beautiful people serving you, but the <span class=""AS"">food</span> doesn't quite match up.","all the <span class=""AS"">food</span> was excellent - considering","the quality of <span class=""AS"">food</span> in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.","Great <span class=""AS"">food</span> (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.","Excellent <span class=""AS"">food</span> for great prices","The <span class=""AS"">food</span> was good.","The <span class=""AS"">food</span> is good, I can't lie.","It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the <span class=""AS"">food</span> than you'd expect (i.e., surprisingly fresh).","The <span class=""AS"">food</span> is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.","The <span class=""AS"">food</span> was great.","Good <span class=""AS"">food</span> at the restaurant (a bit expensive, but great if you want to impress your date).","While this is a pretty place in that overly cute French way, the <span class=""AS"">food</span> was insultingly horrible.","We had a birthday party here recently and the <span class=""AS"">food</span> and service was amazing.","The <span class=""AS"">food</span> is amazing, rich pastas and fresh doughy pizza.","The highlight of the night was the mayonaisse for my side of fries I received from one of the <span class=""AS"">food</span> runners, which is not good considering the bill was nearly $100."
groups,group,,,"As we waited I watched 3 seperate <span class=""AS"">groups</span> of diners discuss how dissapointed they also were.","but I guess if they are not too busy might be able to fit a <span class=""AS"">group</span> or kids.","I went to Ruby Foo's after work with a <span class=""AS"">group</span> of 6.","This place would be so much better served by being run by a <span class=""AS"">group</span> that actually understands customer service.","We were a <span class=""AS"">group</span> of 8 and well seved.","Shockingly easy to throw a <span class=""AS"">group</span> dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.","The restuarant itself is not large, but seems to have several round tables to accomodate large <span class=""AS"">groups</span> hoping to save a buck to eat authentic Taiwanese.","This place would be so much better served by being run by a <span class=""AS"">group</span> that actually understands customer service.","I had to share my table with a loud <span class=""AS"">group</span> of kids and the service was rude an unattentive.","The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different <span class=""AS"">group</span> sizes that come in.","There was a small <span class=""AS"">group</span> of us looking somewhere to eat kinda late on a weeknight and we ended up at Pastis.","The service is good and ambience is good for a date or <span class=""AS"">group</span> outing.","Go with a <span class=""AS"">group</span> of friends and you will have a great time.","Great roofdeck, nice <span class=""AS"">group</span> of 30 somethings, but no music, kind of quiet.","The atmosphere was mostly of an older crowd, but there were a few <span class=""AS"">groups</span> of mid 20's/30 year olds also.","On a recent Saturday night, I was with a <span class=""AS"">group</span> of 5 at the Bread Bar.","Really nice restaurant to go with a <span class=""AS"">group</span> or on a date.","It's easy to get a table for a large <span class=""AS"">group</span> and you don't get hustled out.","My host asked for appetizers for the <span class=""AS"">group</span> and the waiter gave us not only what we ordered, but some other items that were not ordered.","I had a huge <span class=""AS"">group</span> for my birthday and we were well taken care of."
courses,course,,,"When the main <span class=""AS"">course</span> finally arrived (another 45mins) half of our order was missing.","After the main <span class=""AS"">course</span> came, we didn't see our waiter for at least 40 MINUTES!","The appetizers are just OK and the main <span class=""AS"">courses</span> were decidedly subpar.","My husband said the portions were very small, but if my main <span class=""AS"">course</span> was good to eat the portion would've been fine for me.","The main <span class=""AS"">course</span> had an average portion, and was decent overall.","The other night we had the $30 three <span class=""AS"">course</span> meal and everything was delicious - if I could of licked the plate clean","The first 2 <span class=""AS"">courses</span> were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.","Oh yes, and they lie on the phone, claiming they have seating in the garden, then of <span class=""AS"">course</span> the seats are not available.","I book a gorgeous white organza tent which included a four <span class=""AS"">course</span> prix fix menu which we enjoyed a lot.","However, our main <span class=""AS"">course</span> was wonderful.","We were disappointed with the pre-fixe menu of only 2 choices per <span class=""AS"">course</span> (other restaurants offer 3 choices) and ended up ordering a la carte.","food was delicious and of <span class=""AS"">course</span> fresh.","During the <span class=""AS"">course</span> of the past 3 months, the chef and staff changed and it was not for the better.","Three <span class=""AS"">courses</span> - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","Every <span class=""AS"">course</span> was better than the next.","During the <span class=""AS"">course</span> of the past 3 months, the chef and staff changed and it was not for the better.","For each <span class=""AS"">course</span> we waited over 1/2 hour to 45 minutes and were never offered a drink.","The sake’s complimented the <span class=""AS"">courses</span> very well and is successfully easing me into the sake world.","Monday nights are a bargain at the $28 prix fix - this includes a three <span class=""AS"">course</span> meal plus *three* glasses of wine paired with each course.","Of <span class=""AS"">course</span> this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?"
atmosphere,,,,"The <span class=""AS"">atmosphere</span> is relaxed and casual.","The <span class=""AS"">atmosphere</span> was great.","The <span class=""AS"">atmosphere</span> takes you to that place, the place many dream of.","Not only is the service great, but forming conversation around a table is so easy beacuse the <span class=""AS"">atmosphere</span> can be both romantic and comfortable.","The outdoor <span class=""AS"">atmosphere</span> of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.","The <span class=""AS"">atmosphere</span> is unheralded, the service impecible, and the food magnificant.","The <span class=""AS"">atmosphere</span> was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.","The <span class=""AS"">atmosphere</span> is nothing special, but it feels like a Sushi establishment in Tokyo.","Everyone raved about the <span class=""AS"">atmosphere</span> (elegant rooms and absolutely incomparable views) and the fabulous food!","The staff makes you feel at home, the food is great and the <span class=""AS"">atmosphere</span> is WONDERFUL!","The <span class=""AS"">atmosphere</span> is attractive, but a little uncomfortable.","The <span class=""AS"">atmosphere</span> was crowded but it was a great bistro-type vibe.","Eating in, the <span class=""AS"">atmosphere</span> saves it, but at your desk, it's a very disappointing experience.","LOVE the <span class=""AS"">atmosphere</span> - felt like I was in Paris.","The wine list was superb, our tapas delightful, and the quiet <span class=""AS"">atmosphere</span> perfect for good conversation.","The <span class=""AS"">atmosphere</span> is noisy and the waiters are literally walking around doing things as fast as they can.","The food was delicious, the <span class=""AS"">atmosphere</span> was relaxed, and we have now adopted Plate 347 as our Secret on Second!","While the ambiance and <span class=""AS"">atmosphere</span> were great, the food and service could have been a lot better.","LOVE the <span class=""AS"">atmosphere</span> - felt like I was in Paris.","His wife Tanya, the hostess, completes the comforting <span class=""AS"">atmosphere</span> by being delightfully warm and gracious."
job,,,,"To the owners; good <span class=""AS"">job</span> guys, this place is a keeper!","They also do a great <span class=""AS"">job</span> for restaurant week.","These innovators of french indian fusion do a great <span class=""AS"">job</span> of making dishes as interesting as possible while still being accessible.","This is the first place I've been that a runner remembers my order... hope he likes his <span class=""AS"">job</span> because I have half a mind to steal him for my restaurant.","But they've done a really nice <span class=""AS"">job</span> of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).","As far as the service goes, the waitresses were not particularly friendly, but they got the <span class=""AS"">job</span> done.","several times and put up with the waiters' bad manners, knowing that their <span class=""AS"">job</span> isn't easy."
staff,,,,"The <span class=""AS"">staff</span> is courteous and friendly.","The dessert (we had a pear torte) was good - but, once again, the <span class=""AS"">staff</span> was unable to provide appropriate drink suggestions.","I've rarely had a problem with slow <span class=""AS"">staff</span> in the 10 years I've been going.","Friendly <span class=""AS"">staff</span> that actually lets you enjoy your meal and the company you're with.","I'd be horrified if my <span class=""AS"">staff</span> were turning away customers so early and so rudely!","The crust is thin, the ingredients are fresh and the <span class=""AS"">staff</span> is friendly.","I have been coming here for years and have nothing but good things to say about the service and the great <span class=""AS"">staff</span> at La Lanterna.","The <span class=""AS"">staff</span> is no nonsense.","The <span class=""AS"">staff</span> was the friendliest that have seen in New York.","The <span class=""AS"">staff</span> offers impeccable service.","The service was poor, restaurant poorly lit, <span class=""AS"">staff</span> not very attentive","The <span class=""AS"">staff</span> ignored my friends and I the entire time we were there.","The <span class=""AS"">staff</span> is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.","The owner and <span class=""AS"">staff</span> are all Japanese as well and that adds to the entire ambiance.","The <span class=""AS"">staff</span> is excellent, specjal: that girl behind the bar, european chic.","The <span class=""AS"">staff</span> should be a bit more friendly.","Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly <span class=""AS"">staff</span> welcomes you - don't hesitate to ask for help with what to get.","Our waiter was friendly and it is a shame that he didnt have a supportive <span class=""AS"">staff</span> to work with.","The <span class=""AS"">staff</span> are attentive, and have smiles on their faces.","Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly <span class=""AS"">staff</span> a visit."
chicken,,,,"For dinner I had the <span class=""AS"">chicken</span> tikka-masala and some garlic naan.","I recommend the jelly fish, drunken <span class=""AS"">chicken</span> and the soupy dumplings, certainly the stir fry blue crab.","I ordered a <span class=""AS"">Chicken</span> Teriyaki dish and found that the chicken was extremely dry.","We ordered the <span class=""AS"">chicken</span> casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.","Prices are higher to dine in and their <span class=""AS"">chicken</span> tikka marsala is quite good.","The falafal was rather over cooked and dried but the <span class=""AS"">chicken</span> was fine.","I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome <span class=""AS"">chicken</span> tacos and Hibiscus lemonade.","Try the Pad Se-Ew or <span class=""AS"">Chicken</span> with Cashew Nuts for a memorable and repeatable experience.","My friend devoured her <span class=""AS"">chicken</span> and mashed potatos.","The <span class=""AS"">chicken</span> dinner was real good.","The <span class=""AS"">chicken</span> pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","Half a <span class=""AS"">chicken</span> with a mountain of rice and beans for $6.25.","I recommend the jelly fish, drunken <span class=""AS"">chicken</span> and the soupy dumplings, certainly the stir fry blue crab.","Yum, the <span class=""AS"">chicken</span> is great here.","The <span class=""AS"">chicken</span> lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.","I ordered the <span class=""AS"">Chicken</span> Teriyaki and my husband got Garlic Shrimp.","If you like spicy food get the <span class=""AS"">chicken</span> vindaloo.","After that she simply took our plates, walked away, came back another TWENTY minutes later with the bill and the <span class=""AS"">chicken</span> on it!!!!!!!!!!!!","My <span class=""AS"">chicken</span> was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.","one of the best <span class=""AS"">Chicken</span> Tikka Masala."
cost,,,,"A great choice at any <span class=""AS"">cost</span> and a great deal.","sandwiches tho pricey are over stuffed - can serve 2 persons easily thus <span class=""AS"">cost</span> effective!","The manager finally said he would comp the two glasses of wine (which <span class=""AS"">cost</span> less than the food), and made it seem like a big concession.","I do not think dinner in Manhattan should <span class=""AS"">cost</span> $400.00 where I am not swept off my feet.","This place must have <span class=""AS"">cost</span> the owners afortune to build.","Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the <span class=""AS"">cost</span> is through the roof for better than average fare.","This place must have <span class=""AS"">cost</span> the owners afortune to build.","You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the <span class=""AS"">cost</span> of one the dainty dishes here.","Only complaint would be that at an average <span class=""AS"">cost</span> of $12-$15 per meal, I'd like not to have to worry about finding a seat!","Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually <span class=""AS"">cost</span> $."
choices,choice,,,"A great <span class=""AS"">choice</span> at any cost and a great deal.","We are very particular about sushi and were both please with every <span class=""AS"">choice</span> which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","We were disappointed with the pre-fixe menu of only 2 <span class=""AS"">choices</span> per course (other restaurants offer 3 choices) and ended up ordering a la carte.","Three courses - <span class=""AS"">choices</span> include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","You will not be dissapointed by any of the <span class=""AS"">choices</span> in the menu.","Since we were already waiting so long, we felt we had no other <span class=""AS"">choice</span> but to accept it.","Plenty of <span class=""AS"">choices</span> to make your own creation.","Over 100 different <span class=""AS"">choices</span> to create your own.","The menu <span class=""AS"">choices</span> are similar but the taste lacked more flavor than it looked.","Tuk Tuk is one of the rare <span class=""AS"">choices</span> for me to go in Brooklyn.","An excellent <span class=""AS"">choice</span> in midtown.","They bring a sauce cart up to your table and offer you up to 7 or 8 <span class=""AS"">choices</span> of sauces for your steak (I tried them ALL).","I have reservations about the all you can eat deal, however -- the <span class=""AS"">choices</span> are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu."
desserts,dessert,,,"The <span class=""AS"">dessert</span> (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.","The entree was bland and small, <span class=""AS"">dessert</span> was not inspired.","I showed it to the manager, and he smilingly apologized and brought us two free <span class=""AS"">desserts</span> (but did not ask us what we wanted and so brought the last two desserts we would have asked for).","The food was average to above-average; the French Onion soup filling yet not overly impressive, and the <span class=""AS"">desserts</span> not brilliant in any way.","Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my <span class=""AS"">dessert</span> on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.","The <span class=""AS"">desserts</span> are more appealing then stuffy overpriced French restaurants.","The first 2 courses were very good, but the chocolate sampler was too rich for me and the <span class=""AS"">dessert</span> wine far too sweet.","The banana tower is an amazing <span class=""AS"">dessert</span> as well.","We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the <span class=""AS"">dessert</span> menu.","When my <span class=""AS"">dessert</span> came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","We only ordered <span class=""AS"">desserts</span> and drinks, but no refills were offered.","The beverages were excellent, and the <span class=""AS"">dessert</span> was good.","Tiny <span class=""AS"">dessert</span> was $8.00...just plain overpriced for what it is.","By far this is the only chinese <span class=""AS"">desserts</span> place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.","I was looking for banana tempura for <span class=""AS"">dessert</span> and they dont have.","We had great <span class=""AS"">desserts</span> (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.","Oh, and the complimentary pudding <span class=""AS"">dessert</span> was just enough- yummy!","From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a <span class=""AS"">dessert</span> that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.","They've the best <span class=""AS"">desserts</span> and mixed drinks as well as snack foods.","And they provided a delicious <span class=""AS"">dessert</span> on the house!"
night,,,,"At <span class=""AS"">night</span> the atmoshere changes turning into this hidden jewel that is waiting to be discovered.","The highlight of the <span class=""AS"">night</span> was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.","Went to this place this place on a real cold <span class=""AS"">night</span> and needed a quick meal.","Maybe the secret was that we went on a Sunday <span class=""AS"">night</span> and everything was great.","I went to Del Frisco's Friday <span class=""AS"">night</span> with my boyfriend for an 8:00 reservation.","The other <span class=""AS"">night</span> we had the $30 three course meal and everything was delicious - if I could of licked the plate clean","Went to Village last <span class=""AS"">night</span> for my birthday.","As a long-time patron of Mamoun's, I always figured that I had found the best late <span class=""AS"">night</span> food spot in the city.","Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday <span class=""AS"">night</span> and let me tell you its all its cracked up to be.","This restaurant used to be our regular Thursday <span class=""AS"">night</span> dinner location.","I was almost amused by the fact that she was turning away customers at 9pm on a Friday <span class=""AS"">night</span> because she ""had a BBQ to go to"" that night - WTF??","My family and I ate here last <span class=""AS"">night</span> for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.","Stepping into Casa La Femme last <span class=""AS"">night</span> was a true experience unlike any other in New York!","Had a late <span class=""AS"">night</span> dinner on a Saturday night.","It's best to go on a cold <span class=""AS"">night</span> with a close friend or a good book.","IT is the best deal in town for a Monday <span class=""AS"">night</span> dinner at a fine restaurant.","This is definitely an  excellent date spot because of the ambiance and on the weekends the  <span class=""AS"">night</span> scene is more than alive.","On a monthly basis my friends and I get together and have a girls <span class=""AS"">night</span> out.","My girlfriend convinced me to go in the other <span class=""AS"">night</span> for a quick bite.","Had a late <span class=""AS"">night</span> dinner on a Saturday night."
